Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn)
E8 Sandvikeidet;SN90360;14.04.2015;2,4
E8 Sandvikeidet;SN90360;15.04.2015;4,5
E8 Sandvikeidet;SN90360;16.04.2015;3,1
E8 Sandvikeidet;SN90360;17.04.2015;3,3
E8 Sandvikeidet;SN90360;18.04.2015;4
E8 Sandvikeidet;SN90360;19.04.2015;3,7
E8 Sandvikeidet;SN90360;20.04.2015;3,5
E8 Sandvikeidet;SN90360;21.04.2015;4,8
E8 Sandvikeidet;SN90360;24.04.2015;3,3
E8 Sandvikeidet;SN90360;25.04.2015;0,9
E8 Sandvikeidet;SN90360;28.04.2015;0,5
E8 Sandvikeidet;SN90360;29.04.2015;0,3
E8 Sandvikeidet;SN90360;30.04.2015;0,9
E8 Sandvikeidet;SN90360;03.05.2015;2,3
E8 Sandvikeidet;SN90360;07.05.2015;6,2
E8 Sandvikeidet;SN90360;08.05.2015;8,9
E8 Sandvikeidet;SN90360;09.05.2015;5,7
E8 Sandvikeidet;SN90360;10.05.2015;7,2
E8 Sandvikeidet;SN90360;11.05.2015;5,7
E8 Sandvikeidet;SN90360;12.05.2015;7,5
E8 Sandvikeidet;SN90360;13.05.2015;7,6
E8 Sandvikeidet;SN90360;14.05.2015;4,1
E8 Sandvikeidet;SN90360;16.05.2015;3,9
E8 Sandvikeidet;SN90360;18.05.2015;7,5
E8 Sandvikeidet;SN90360;19.05.2015;5,2
E8 Sandvikeidet;SN90360;20.05.2015;6,8
E8 Sandvikeidet;SN90360;21.05.2015;5,7
E8 Sandvikeidet;SN90360;22.05.2015;8,2
E8 Sandvikeidet;SN90360;23.05.2015;4,9
E8 Sandvikeidet;SN90360;24.05.2015;3,7
E8 Sandvikeidet;SN90360;25.05.2015;4,9
E8 Sandvikeidet;SN90360;28.05.2015;8,9
E8 Sandvikeidet;SN90360;29.05.2015;7,8
E8 Sandvikeidet;SN90360;30.05.2015;9,6
E8 Sandvikeidet;SN90360;31.05.2015;10,8
E8 Sandvikeidet;SN90360;01.06.2015;12,9
E8 Sandvikeidet;SN90360;03.06.2015;8,6
E8 Sandvikeidet;SN90360;04.06.2015;5
E8 Sandvikeidet;SN90360;05.06.2015;4,5
E8 Sandvikeidet;SN90360;06.06.2015;5,9
E8 Sandvikeidet;SN90360;07.06.2015;6,6
E8 Sandvikeidet;SN90360;08.06.2015;6,1
E8 Sandvikeidet;SN90360;09.06.2015;7,7
E8 Sandvikeidet;SN90360;10.06.2015;6,1
E8 Sandvikeidet;SN90360;11.06.2015;5,5
E8 Sandvikeidet;SN90360;12.06.2015;5,3
E8 Sandvikeidet;SN90360;13.06.2015;5,2
E8 Sandvikeidet;SN90360;14.06.2015;8
E8 Sandvikeidet;SN90360;15.06.2015;9,3
E8 Sandvikeidet;SN90360;16.06.2015;7,4
E8 Sandvikeidet;SN90360;17.06.2015;7
E8 Sandvikeidet;SN90360;18.06.2015;9,9
E8 Sandvikeidet;SN90360;19.06.2015;7,8
E8 Sandvikeidet;SN90360;20.06.2015;9,3
E8 Sandvikeidet;SN90360;21.06.2015;10,6
E8 Sandvikeidet;SN90360;22.06.2015;11,4
E8 Sandvikeidet;SN90360;26.06.2015;7,9
E8 Sandvikeidet;SN90360;27.06.2015;8,5
E8 Sandvikeidet;SN90360;28.06.2015;8,2
E8 Sandvikeidet;SN90360;29.06.2015;7,3
E8 Sandvikeidet;SN90360;30.06.2015;8,8
E8 Sandvikeidet;SN90360;01.07.2015;10,1
E8 Sandvikeidet;SN90360;02.07.2015;10,6
E8 Sandvikeidet;SN90360;03.07.2015;8,9
E8 Sandvikeidet;SN90360;04.07.2015;8,6
E8 Sandvikeidet;SN90360;04.08.2015;10,7
E8 Sandvikeidet;SN90360;05.08.2015;15,6
E8 Sandvikeidet;SN90360;06.08.2015;16,1
E8 Sandvikeidet;SN90360;07.08.2015;14,3
E8 Sandvikeidet;SN90360;08.08.2015;13
E8 Sandvikeidet;SN90360;09.08.2015;12,5
E8 Sandvikeidet;SN90360;10.08.2015;13,5
E8 Sandvikeidet;SN90360;11.08.2015;17,1
E8 Sandvikeidet;SN90360;12.08.2015;11,8
