Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Snødybde
Fv91 Breivikeidet;SN91010;26.02.2019;0,4;-
Fv91 Breivikeidet;SN91010;27.02.2019;1,4;-
Fv91 Breivikeidet;SN91010;28.02.2019;-5,3;-
Fv91 Breivikeidet;SN91010;01.03.2019;-6,2;-
Fv91 Breivikeidet;SN91010;02.03.2019;-14,9;-
Fv91 Breivikeidet;SN91010;03.03.2019;-9,2;-
Fv91 Breivikeidet;SN91010;04.03.2019;-8,7;-
Fv91 Breivikeidet;SN91010;05.03.2019;-8,1;-
Fv91 Breivikeidet;SN91010;06.03.2019;-5,3;-
Fv91 Breivikeidet;SN91010;07.03.2019;-9,8;0
Fv91 Breivikeidet;SN91010;08.03.2019;-13,6;82
Fv91 Breivikeidet;SN91010;09.03.2019;-3,8;80
Fv91 Breivikeidet;SN91010;10.03.2019;-10,2;78
Fv91 Breivikeidet;SN91010;11.03.2019;-10,1;77
Fv91 Breivikeidet;SN91010;12.03.2019;-5,1;86
Fv91 Breivikeidet;SN91010;13.03.2019;-8,4;89
Fv91 Breivikeidet;SN91010;14.03.2019;-4,4;86
Fv91 Breivikeidet;SN91010;15.03.2019;-4,2;84
Fv91 Breivikeidet;SN91010;16.03.2019;-3;88
Fv91 Breivikeidet;SN91010;17.03.2019;-3,2;88
Fv91 Breivikeidet;SN91010;18.03.2019;-4,5;86
Fv91 Breivikeidet;SN91010;19.03.2019;-3,2;85
Fv91 Breivikeidet;SN91010;20.03.2019;2,1;83
Fv91 Breivikeidet;SN91010;21.03.2019;1,8;83
Fv91 Breivikeidet;SN91010;22.03.2019;0,8;91
Fv91 Breivikeidet;SN91010;23.03.2019;4,7;87
Fv91 Breivikeidet;SN91010;24.03.2019;0,9;82
Fv91 Breivikeidet;SN91010;25.03.2019;-3,1;89
Fv91 Breivikeidet;SN91010;26.03.2019;-3,2;103
Fv91 Breivikeidet;SN91010;27.03.2019;1;104
Fv91 Breivikeidet;SN91010;28.03.2019;2,4;96
Fv91 Breivikeidet;SN91010;29.03.2019;0,3;91
Fv91 Breivikeidet;SN91010;30.03.2019;-0,3;100
Fv91 Breivikeidet;SN91010;31.03.2019;-0,9;-
Fv91 Breivikeidet;SN91010;01.04.2019;0,1;137
Fv91 Breivikeidet;SN91010;02.04.2019;1;127
Fv91 Breivikeidet;SN91010;03.04.2019;2,9;114
Fv91 Breivikeidet;SN91010;04.04.2019;-1,5;107
Fv91 Breivikeidet;SN91010;05.04.2019;-2,8;104
Fv91 Breivikeidet;SN91010;06.04.2019;0,2;102
Fv91 Breivikeidet;SN91010;07.04.2019;-1,3;103
Fv91 Breivikeidet;SN91010;08.04.2019;-1,5;104
Fv91 Breivikeidet;SN91010;12.04.2019;2,1;102
Fv91 Breivikeidet;SN91010;13.04.2019;2,9;96
Fv91 Breivikeidet;SN91010;14.04.2019;4,4;90
Fv91 Breivikeidet;SN91010;15.04.2019;4;84
Fv91 Breivikeidet;SN91010;16.04.2019;2,6;78
Fv91 Breivikeidet;SN91010;17.04.2019;1,9;74
Fv91 Breivikeidet;SN91010;18.04.2019;4,6;71
Fv91 Breivikeidet;SN91010;19.04.2019;4,9;67
Fv91 Breivikeidet;SN91010;20.04.2019;9,3;59
Fv91 Breivikeidet;SN91010;21.04.2019;5,5;46
Fv91 Breivikeidet;SN91010;22.04.2019;5,5;42
Fv91 Breivikeidet;SN91010;23.04.2019;7;37
Fv91 Breivikeidet;SN91010;24.04.2019;5,4;28
Fv91 Breivikeidet;SN91010;25.04.2019;5,7;26
Fv91 Breivikeidet;SN91010;26.04.2019;6,1;22
Fv91 Breivikeidet;SN91010;27.04.2019;5,8;14
Fv91 Breivikeidet;SN91010;28.04.2019;5,1;5
Fv91 Breivikeidet;SN91010;29.04.2019;3,5;-
Fv91 Breivikeidet;SN91010;30.04.2019;2,8;-
Fv91 Breivikeidet;SN91010;01.05.2019;1;-
Fv91 Breivikeidet;SN91010;02.05.2019;0,1;-
Fv91 Breivikeidet;SN91010;03.05.2019;-0,7;-
Fv91 Breivikeidet;SN91010;04.05.2019;-0,5;-
Fv91 Breivikeidet;SN91010;05.05.2019;0,2;-
Fv91 Breivikeidet;SN91010;06.05.2019;1,7;-
Fv91 Breivikeidet;SN91010;07.05.2019;5,3;-
Fv91 Breivikeidet;SN91010;08.05.2019;3,1;-
Fv91 Breivikeidet;SN91010;09.05.2019;4,4;-
Fv91 Breivikeidet;SN91010;10.05.2019;9,5;-
Fv91 Breivikeidet;SN91010;11.05.2019;9;-
Fv91 Breivikeidet;SN91010;12.05.2019;5;-
Fv91 Breivikeidet;SN91010;13.05.2019;3,7;-
Fv91 Breivikeidet;SN91010;14.05.2019;3,8;-
Fv91 Breivikeidet;SN91010;15.05.2019;4,7;-
Fv91 Breivikeidet;SN91010;16.05.2019;6,1;-
Fv91 Breivikeidet;SN91010;17.05.2019;7,9;-
Fv91 Breivikeidet;SN91010;18.05.2019;7;-
Fv91 Breivikeidet;SN91010;19.05.2019;7,4;-
Fv91 Breivikeidet;SN91010;20.05.2019;9,1;-
Fv91 Breivikeidet;SN91010;21.05.2019;7,8;-
Fv91 Breivikeidet;SN91010;22.05.2019;6,3;-
Fv91 Breivikeidet;SN91010;23.05.2019;6,7;-
Fv91 Breivikeidet;SN91010;24.05.2019;6,4;-
Fv91 Breivikeidet;SN91010;25.05.2019;4,8;-
Fv91 Breivikeidet;SN91010;26.05.2019;5;-
Fv91 Breivikeidet;SN91010;27.05.2019;6,6;-
Fv91 Breivikeidet;SN91010;28.05.2019;10,7;-
Fv91 Breivikeidet;SN91010;01.06.2019;5,7;-
Fv91 Breivikeidet;SN91010;02.06.2019;5,4;-
Fv91 Breivikeidet;SN91010;03.06.2019;7,1;-
Fv91 Breivikeidet;SN91010;04.06.2019;9,4;-
Fv91 Breivikeidet;SN91010;05.06.2019;9,6;-
Fv91 Breivikeidet;SN91010;06.06.2019;9,6;-
Fv91 Breivikeidet;SN91010;07.06.2019;10,3;-
Fv91 Breivikeidet;SN91010;08.06.2019;9,3;-
Fv91 Breivikeidet;SN91010;09.06.2019;9,3;-
Fv91 Breivikeidet;SN91010;10.06.2019;6,5;-
Fv91 Breivikeidet;SN91010;11.06.2019;5,9;-
Fv91 Breivikeidet;SN91010;12.06.2019;8,3;-
Fv91 Breivikeidet;SN91010;13.06.2019;9,5;-
Fv91 Breivikeidet;SN91010;14.06.2019;8,2;-
Fv91 Breivikeidet;SN91010;15.06.2019;10;-
Fv91 Breivikeidet;SN91010;16.06.2019;8,6;-
Fv91 Breivikeidet;SN91010;17.06.2019;9;-
Fv91 Breivikeidet;SN91010;18.06.2019;8,9;-
Fv91 Breivikeidet;SN91010;19.06.2019;7,2;-
Fv91 Breivikeidet;SN91010;20.06.2019;9,9;-
Fv91 Breivikeidet;SN91010;21.06.2019;13,7;-
Fv91 Breivikeidet;SN91010;22.06.2019;10;-
Fv91 Breivikeidet;SN91010;23.06.2019;9,9;-
Fv91 Breivikeidet;SN91010;24.06.2019;10,4;-
Fv91 Breivikeidet;SN91010;25.06.2019;10,1;-
Fv91 Breivikeidet;SN91010;26.06.2019;9,6;-
Fv91 Breivikeidet;SN91010;27.06.2019;6,6;-
Fv91 Breivikeidet;SN91010;28.06.2019;7,6;-
Fv91 Breivikeidet;SN91010;29.06.2019;5,2;-
Fv91 Breivikeidet;SN91010;30.06.2019;7,5;-
Fv91 Breivikeidet;SN91010;01.07.2019;9,8;-
Fv91 Breivikeidet;SN91010;02.07.2019;8,2;-
Fv91 Breivikeidet;SN91010;03.07.2019;8,9;-
Fv91 Breivikeidet;SN91010;04.07.2019;8,5;-
Fv91 Breivikeidet;SN91010;05.07.2019;10,8;-
Fv91 Breivikeidet;SN91010;06.07.2019;8,5;-
Fv91 Breivikeidet;SN91010;07.07.2019;14,5;-
Fv91 Breivikeidet;SN91010;08.07.2019;15,4;-
Fv91 Breivikeidet;SN91010;09.07.2019;11,8;-
Fv91 Breivikeidet;SN91010;10.07.2019;10,4;-
Fv91 Breivikeidet;SN91010;11.07.2019;10,8;-
Fv91 Breivikeidet;SN91010;12.07.2019;9,6;-
Fv91 Breivikeidet;SN91010;13.07.2019;11;-
Fv91 Breivikeidet;SN91010;14.07.2019;9,3;-
Fv91 Breivikeidet;SN91010;15.07.2019;9,5;-
