Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn)
Kvaløysletta;SN90560;21.10.2011;4,1;-
Kvaløysletta;SN90560;22.10.2011;2,5;17,9
Kvaløysletta;SN90560;23.10.2011;5;0
Kvaløysletta;SN90560;24.10.2011;8;5,9
Kvaløysletta;SN90560;25.10.2011;10,2;0
Kvaløysletta;SN90560;26.10.2011;5,6;0
Kvaløysletta;SN90560;27.10.2011;6,5;0
Kvaløysletta;SN90560;28.10.2011;5,1;0
Kvaløysletta;SN90560;29.10.2011;5,6;5,4
Kvaløysletta;SN90560;30.10.2011;7,3;19,6
Kvaløysletta;SN90560;31.10.2011;3,5;10,3
Kvaløysletta;SN90560;01.11.2011;5,7;4,3
Kvaløysletta;SN90560;02.11.2011;6;30,4
Kvaløysletta;SN90560;03.11.2011;2,5;12,5
Kvaløysletta;SN90560;04.11.2011;4,3;0,5
Kvaløysletta;SN90560;05.11.2011;7,6;0
Kvaløysletta;SN90560;06.11.2011;8;1
Kvaløysletta;SN90560;07.11.2011;5,9;2,5
Kvaløysletta;SN90560;08.11.2011;4,6;16,1
Kvaløysletta;SN90560;09.11.2011;6,1;0,5
Kvaløysletta;SN90560;10.11.2011;7,8;0
Kvaløysletta;SN90560;11.11.2011;8;14,9
Kvaløysletta;SN90560;12.11.2011;6,7;2
Kvaløysletta;SN90560;13.11.2011;5,5;0
Kvaløysletta;SN90560;14.11.2011;-0,9;25,9
Kvaløysletta;SN90560;15.11.2011;1;11,4
Kvaløysletta;SN90560;16.11.2011;5,2;46,9
Kvaløysletta;SN90560;17.11.2011;1,7;28,5
Kvaløysletta;SN90560;18.11.2011;0,5;0,8
Kvaløysletta;SN90560;19.11.2011;-2,8;8,7
Kvaløysletta;SN90560;20.11.2011;-3,4;0,1
Kvaløysletta;SN90560;21.11.2011;0,7;0
Kvaløysletta;SN90560;22.11.2011;6,5;1,1
Kvaløysletta;SN90560;23.11.2011;5,9;3,8
Kvaløysletta;SN90560;24.11.2011;3,5;1,6
Kvaløysletta;SN90560;25.11.2011;3,1;21,7
Kvaløysletta;SN90560;26.11.2011;2,2;0,1
Kvaløysletta;SN90560;27.11.2011;0,3;0
Kvaløysletta;SN90560;28.11.2011;-0,8;0
Kvaløysletta;SN90560;29.11.2011;1,8;0,3
Kvaløysletta;SN90560;30.11.2011;4,5;0
Kvaløysletta;SN90560;01.12.2011;3,5;9,9
Kvaløysletta;SN90560;02.12.2011;2,2;0,9
Kvaløysletta;SN90560;03.12.2011;0,4;18,4
Kvaløysletta;SN90560;04.12.2011;2;0
Kvaløysletta;SN90560;05.12.2011;0,8;0
Kvaløysletta;SN90560;06.12.2011;0,2;0
Kvaløysletta;SN90560;07.12.2011;-1,4;4,2
Kvaløysletta;SN90560;08.12.2011;-4,5;3,7
Kvaløysletta;SN90560;09.12.2011;-3,7;0
Kvaløysletta;SN90560;10.12.2011;-1,4;0,2
Kvaløysletta;SN90560;11.12.2011;-1;2,5
Kvaløysletta;SN90560;12.12.2011;-3;15,1
Kvaløysletta;SN90560;13.12.2011;-2,8;0,1
Kvaløysletta;SN90560;14.12.2011;2,1;0,2
Kvaløysletta;SN90560;15.12.2011;3,1;0
Kvaløysletta;SN90560;16.12.2011;1,6;0
Kvaløysletta;SN90560;17.12.2011;-1,2;0
Kvaløysletta;SN90560;18.12.2011;-2,5;0
Kvaløysletta;SN90560;19.12.2011;-0,2;0
Kvaløysletta;SN90560;20.12.2011;0,9;0
Kvaløysletta;SN90560;21.12.2011;1,3;0
Kvaløysletta;SN90560;22.12.2011;-0,2;0,1
Kvaløysletta;SN90560;23.12.2011;3;0
Kvaløysletta;SN90560;24.12.2011;1,4;5,8
Kvaløysletta;SN90560;25.12.2011;2,7;14,2
Kvaløysletta;SN90560;26.12.2011;1,1;4,7
Kvaløysletta;SN90560;27.12.2011;-0,9;12,9
Kvaløysletta;SN90560;28.12.2011;-0,8;8,9
Kvaløysletta;SN90560;29.12.2011;-2,4;8,2
Kvaløysletta;SN90560;30.12.2011;-4,1;0
Kvaløysletta;SN90560;31.12.2011;-6,9;0
Kvaløysletta;SN90560;01.01.2012;-0,5;0
Kvaløysletta;SN90560;02.01.2012;0;0
Kvaløysletta;SN90560;03.01.2012;-0,9;0
Kvaløysletta;SN90560;04.01.2012;-0,7;0
Kvaløysletta;SN90560;05.01.2012;-6,5;0
Kvaløysletta;SN90560;06.01.2012;-6,8;0
Kvaløysletta;SN90560;07.01.2012;-5;0
Kvaløysletta;SN90560;08.01.2012;-3,9;0
Kvaløysletta;SN90560;09.01.2012;-3,6;3,4
Kvaløysletta;SN90560;10.01.2012;-3,7;0,3
Kvaløysletta;SN90560;11.01.2012;-1,3;0,1
Kvaløysletta;SN90560;12.01.2012;-5,3;0
Kvaløysletta;SN90560;13.01.2012;-5,7;0
Kvaløysletta;SN90560;14.01.2012;-3,8;0,2
Kvaløysletta;SN90560;15.01.2012;1,8;0
Kvaløysletta;SN90560;16.01.2012;0,6;6,2
Kvaløysletta;SN90560;17.01.2012;1,6;3
Kvaløysletta;SN90560;18.01.2012;1,5;2,2
Kvaløysletta;SN90560;19.01.2012;-1,5;0
Kvaløysletta;SN90560;20.01.2012;-4,2;0
Kvaløysletta;SN90560;21.01.2012;-5,4;0
Kvaløysletta;SN90560;22.01.2012;-5,6;0
Kvaløysletta;SN90560;23.01.2012;-7;0
Kvaløysletta;SN90560;24.01.2012;-5,4;0
Kvaløysletta;SN90560;25.01.2012;-3,7;0
Kvaløysletta;SN90560;26.01.2012;-2,3;0
Kvaløysletta;SN90560;27.01.2012;-2,5;0,2
Kvaløysletta;SN90560;28.01.2012;-5;0
Kvaløysletta;SN90560;29.01.2012;-7,5;0
Kvaløysletta;SN90560;30.01.2012;-7,7;0
Kvaløysletta;SN90560;31.01.2012;-5,2;0
Kvaløysletta;SN90560;01.02.2012;-2,4;0
Kvaløysletta;SN90560;02.02.2012;-5,9;0
Kvaløysletta;SN90560;03.02.2012;-5,9;0
Kvaløysletta;SN90560;04.02.2012;-7,8;0
Kvaløysletta;SN90560;05.02.2012;-12,8;0
Kvaløysletta;SN90560;06.02.2012;-16,4;0
Kvaløysletta;SN90560;07.02.2012;-5,8;0
Kvaløysletta;SN90560;08.02.2012;2,6;0,1
Kvaløysletta;SN90560;09.02.2012;3;0
Kvaløysletta;SN90560;10.02.2012;3,1;0,6
Kvaløysletta;SN90560;11.02.2012;1;6,4
Kvaløysletta;SN90560;12.02.2012;-2,2;13,3
Kvaløysletta;SN90560;13.02.2012;-2,9;3
Kvaløysletta;SN90560;14.02.2012;-3,5;1,9
Kvaløysletta;SN90560;15.02.2012;-4,3;0
Kvaløysletta;SN90560;16.02.2012;-3,2;1,2
Kvaløysletta;SN90560;17.02.2012;-0,9;0,6
Kvaløysletta;SN90560;18.02.2012;-0,7;1,9
Kvaløysletta;SN90560;19.02.2012;-1,4;0
Kvaløysletta;SN90560;20.02.2012;-3;4,2
Kvaløysletta;SN90560;21.02.2012;-1,8;4,9
Kvaløysletta;SN90560;22.02.2012;-2,8;14,5
Kvaløysletta;SN90560;23.02.2012;-3,2;1,3
Kvaløysletta;SN90560;24.02.2012;-4,4;7,6
Kvaløysletta;SN90560;25.02.2012;-4,2;0,1
Kvaløysletta;SN90560;26.02.2012;-2,8;10,8
Kvaløysletta;SN90560;27.02.2012;-0,8;2,3
Kvaløysletta;SN90560;28.02.2012;-0,4;0
Kvaløysletta;SN90560;29.02.2012;-0,6;14,6
Kvaløysletta;SN90560;01.03.2012;1,5;5,1
Kvaløysletta;SN90560;02.03.2012;0,1;24,5
Kvaløysletta;SN90560;03.03.2012;-1,9;9,6
Kvaløysletta;SN90560;04.03.2012;-2,2;0
Kvaløysletta;SN90560;05.03.2012;-3,2;0
Kvaløysletta;SN90560;06.03.2012;-3,6;0
Kvaløysletta;SN90560;07.03.2012;-1,3;0
Kvaløysletta;SN90560;08.03.2012;0,4;0
Kvaløysletta;SN90560;09.03.2012;1,9;0,1
