Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund - Simavik;SN90610;01.07.1976;3;0
Kvalsund - Simavik;SN90610;02.07.1976;4;0
Kvalsund - Simavik;SN90610;03.07.1976;7;0
Kvalsund - Simavik;SN90610;04.07.1976;2;0
Kvalsund - Simavik;SN90610;05.07.1976;1;0
Kvalsund - Simavik;SN90610;06.07.1976;0;0
Kvalsund - Simavik;SN90610;07.07.1976;0;0
Kvalsund - Simavik;SN90610;08.07.1976;0;0
Kvalsund - Simavik;SN90610;09.07.1976;0;0
Kvalsund - Simavik;SN90610;10.07.1976;0,2;0
Kvalsund - Simavik;SN90610;11.07.1976;0;0
Kvalsund - Simavik;SN90610;12.07.1976;0;0
Kvalsund - Simavik;SN90610;13.07.1976;0;0
Kvalsund - Simavik;SN90610;14.07.1976;0,5;0
Kvalsund - Simavik;SN90610;15.07.1976;0;0
Kvalsund - Simavik;SN90610;16.07.1976;0;0
Kvalsund - Simavik;SN90610;17.07.1976;0;0
Kvalsund - Simavik;SN90610;18.07.1976;1,1;0
Kvalsund - Simavik;SN90610;19.07.1976;7,3;0
Kvalsund - Simavik;SN90610;20.07.1976;0;0
Kvalsund - Simavik;SN90610;21.07.1976;8,6;0
Kvalsund - Simavik;SN90610;22.07.1976;4,4;0
Kvalsund - Simavik;SN90610;23.07.1976;10,4;0
Kvalsund - Simavik;SN90610;24.07.1976;6,8;0
Kvalsund - Simavik;SN90610;25.07.1976;1,4;0
Kvalsund - Simavik;SN90610;26.07.1976;3,2;0
Kvalsund - Simavik;SN90610;27.07.1976;6,3;0
Kvalsund - Simavik;SN90610;28.07.1976;1;0
Kvalsund - Simavik;SN90610;29.07.1976;0,2;0
Kvalsund - Simavik;SN90610;30.07.1976;2,9;0
Kvalsund - Simavik;SN90610;31.07.1976;0;0
Kvalsund - Simavik;SN90610;01.08.1976;0,8;0
Kvalsund - Simavik;SN90610;02.08.1976;1,8;0
Kvalsund - Simavik;SN90610;03.08.1976;10,4;0
Kvalsund - Simavik;SN90610;04.08.1976;0,8;0
Kvalsund - Simavik;SN90610;05.08.1976;0,9;0
Kvalsund - Simavik;SN90610;06.08.1976;0;0
Kvalsund - Simavik;SN90610;07.08.1976;0;0
Kvalsund - Simavik;SN90610;08.08.1976;0;0
Kvalsund - Simavik;SN90610;09.08.1976;1,3;0
Kvalsund - Simavik;SN90610;10.08.1976;0;0
Kvalsund - Simavik;SN90610;11.08.1976;0;0
Kvalsund - Simavik;SN90610;12.08.1976;0;0
Kvalsund - Simavik;SN90610;13.08.1976;0;0
Kvalsund - Simavik;SN90610;14.08.1976;0;0
Kvalsund - Simavik;SN90610;15.08.1976;0;0
Kvalsund - Simavik;SN90610;16.08.1976;0;0
Kvalsund - Simavik;SN90610;17.08.1976;1,9;0
Kvalsund - Simavik;SN90610;18.08.1976;4,2;0
Kvalsund - Simavik;SN90610;19.08.1976;13,5;0
Kvalsund - Simavik;SN90610;20.08.1976;13,7;0
Kvalsund - Simavik;SN90610;21.08.1976;0,3;0
Kvalsund - Simavik;SN90610;22.08.1976;0;0
Kvalsund - Simavik;SN90610;23.08.1976;0;0
Kvalsund - Simavik;SN90610;24.08.1976;3,4;0
Kvalsund - Simavik;SN90610;25.08.1976;0,4;0
Kvalsund - Simavik;SN90610;26.08.1976;7,3;0
Kvalsund - Simavik;SN90610;27.08.1976;0,6;0
Kvalsund - Simavik;SN90610;28.08.1976;12,8;0
Kvalsund - Simavik;SN90610;29.08.1976;21,2;0
Kvalsund - Simavik;SN90610;30.08.1976;1,6;0
Kvalsund - Simavik;SN90610;31.08.1976;7,9;0
Kvalsund - Simavik;SN90610;01.09.1976;2,5;0
Kvalsund - Simavik;SN90610;02.09.1976;19,7;0
Kvalsund - Simavik;SN90610;03.09.1976;12,3;0
Kvalsund - Simavik;SN90610;04.09.1976;14,9;0
Kvalsund - Simavik;SN90610;05.09.1976;12,9;0
Kvalsund - Simavik;SN90610;06.09.1976;1,9;0
Kvalsund - Simavik;SN90610;07.09.1976;15;0
Kvalsund - Simavik;SN90610;08.09.1976;17,9;0
Kvalsund - Simavik;SN90610;09.09.1976;5;0
Kvalsund - Simavik;SN90610;10.09.1976;18,9;0
Kvalsund - Simavik;SN90610;11.09.1976;0,1;0
Kvalsund - Simavik;SN90610;12.09.1976;2,2;0
Kvalsund - Simavik;SN90610;13.09.1976;3,2;0
Kvalsund - Simavik;SN90610;14.09.1976;5,7;0
