Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund;SN90600;01.01.1957;0,5;0
Kvalsund;SN90600;02.01.1957;0;0
Kvalsund;SN90600;03.01.1957;0;0
Kvalsund;SN90600;04.01.1957;0;0
Kvalsund;SN90600;05.01.1957;0;0
Kvalsund;SN90600;06.01.1957;0;0
Kvalsund;SN90600;07.01.1957;0,2;0
Kvalsund;SN90600;08.01.1957;3;0
Kvalsund;SN90600;09.01.1957;14,2;0
Kvalsund;SN90600;10.01.1957;5,3;0
Kvalsund;SN90600;11.01.1957;6,1;0
Kvalsund;SN90600;12.01.1957;2,7;0
Kvalsund;SN90600;13.01.1957;0,5;0
Kvalsund;SN90600;14.01.1957;0;0
Kvalsund;SN90600;15.01.1957;11,6;0
Kvalsund;SN90600;16.01.1957;5,5;0
Kvalsund;SN90600;17.01.1957;13,5;0
Kvalsund;SN90600;18.01.1957;20,3;0
Kvalsund;SN90600;19.01.1957;6,6;0
Kvalsund;SN90600;20.01.1957;4;0
Kvalsund;SN90600;21.01.1957;1,6;0
Kvalsund;SN90600;22.01.1957;7,1;0
Kvalsund;SN90600;23.01.1957;0,1;0
Kvalsund;SN90600;24.01.1957;4,4;0
Kvalsund;SN90600;25.01.1957;0;0
Kvalsund;SN90600;26.01.1957;0;0
Kvalsund;SN90600;27.01.1957;0;0
Kvalsund;SN90600;28.01.1957;0;0
Kvalsund;SN90600;29.01.1957;0;0
Kvalsund;SN90600;30.01.1957;3,5;0
Kvalsund;SN90600;31.01.1957;11;0
Kvalsund;SN90600;01.02.1957;0;0
Kvalsund;SN90600;02.02.1957;0;0
Kvalsund;SN90600;03.02.1957;6,1;0
Kvalsund;SN90600;04.02.1957;10,2;0
Kvalsund;SN90600;05.02.1957;0,2;0
Kvalsund;SN90600;06.02.1957;0,7;0
Kvalsund;SN90600;07.02.1957;0;0
Kvalsund;SN90600;08.02.1957;12,6;0
Kvalsund;SN90600;09.02.1957;0,4;0
Kvalsund;SN90600;10.02.1957;0;0
Kvalsund;SN90600;11.02.1957;0;0
Kvalsund;SN90600;12.02.1957;0;0
Kvalsund;SN90600;13.02.1957;1,3;0
Kvalsund;SN90600;14.02.1957;0;0
Kvalsund;SN90600;15.02.1957;0;0
Kvalsund;SN90600;16.02.1957;0;0
Kvalsund;SN90600;17.02.1957;0;0
