Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;01.07.1979;0;0
Lyfjord;SN90570;02.07.1979;5;0
Lyfjord;SN90570;03.07.1979;0;0
Lyfjord;SN90570;04.07.1979;5;0
Lyfjord;SN90570;05.07.1979;0;0
Lyfjord;SN90570;06.07.1979;0;0
Lyfjord;SN90570;07.07.1979;0;0
Lyfjord;SN90570;08.07.1979;0;0
Lyfjord;SN90570;09.07.1979;0;0
Lyfjord;SN90570;10.07.1979;0;0
Lyfjord;SN90570;11.07.1979;0;0
Lyfjord;SN90570;12.07.1979;0;0
Lyfjord;SN90570;13.07.1979;0;0
Lyfjord;SN90570;14.07.1979;0,3;0
Lyfjord;SN90570;15.07.1979;0;0
Lyfjord;SN90570;16.07.1979;0;0
Lyfjord;SN90570;17.07.1979;0;0
Lyfjord;SN90570;18.07.1979;0;0
Lyfjord;SN90570;19.07.1979;0;0
Lyfjord;SN90570;20.07.1979;0;0
Lyfjord;SN90570;21.07.1979;0;0
Lyfjord;SN90570;22.07.1979;0;0
Lyfjord;SN90570;23.07.1979;0;0
Lyfjord;SN90570;24.07.1979;0;0
Lyfjord;SN90570;25.07.1979;0;0
Lyfjord;SN90570;26.07.1979;0;0
Lyfjord;SN90570;27.07.1979;0;0
Lyfjord;SN90570;28.07.1979;0;0
Lyfjord;SN90570;29.07.1979;0;0
Lyfjord;SN90570;30.07.1979;0;0
Lyfjord;SN90570;31.07.1979;0;0
Lyfjord;SN90570;01.08.1979;0;0
Lyfjord;SN90570;02.08.1979;0;0
Lyfjord;SN90570;03.08.1979;0;0
Lyfjord;SN90570;04.08.1979;0,4;0
Lyfjord;SN90570;05.08.1979;0,5;0
Lyfjord;SN90570;06.08.1979;1,6;0
Lyfjord;SN90570;07.08.1979;1;0
Lyfjord;SN90570;08.08.1979;0;0
Lyfjord;SN90570;09.08.1979;0;0
Lyfjord;SN90570;10.08.1979;0;0
Lyfjord;SN90570;11.08.1979;0;0
Lyfjord;SN90570;12.08.1979;0;0
Lyfjord;SN90570;13.08.1979;0;0
Lyfjord;SN90570;14.08.1979;0;0
Lyfjord;SN90570;15.08.1979;0;0
Lyfjord;SN90570;16.08.1979;0,4;0
Lyfjord;SN90570;17.08.1979;0,1;0
Lyfjord;SN90570;18.08.1979;0,8;0
Lyfjord;SN90570;19.08.1979;9,8;0
Lyfjord;SN90570;20.08.1979;0,1;0
Lyfjord;SN90570;21.08.1979;12;0
Lyfjord;SN90570;22.08.1979;0;0
Lyfjord;SN90570;23.08.1979;0;0
