Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Måsvik;SN90720;26.11.2009;4,6;-;3,8;-
Måsvik;SN90720;27.11.2009;3,2;-;2,9;-
Måsvik;SN90720;28.11.2009;1,6;-;5,9;-
Måsvik;SN90720;29.11.2009;-0,2;-;3,2;-
Måsvik;SN90720;30.11.2009;-1,7;-;4,4;-
Måsvik;SN90720;02.12.2009;2,6;7;5,5;0
Måsvik;SN90720;03.12.2009;0,6;-;5;-
Måsvik;SN90720;04.12.2009;2,7;-;4,6;-
Måsvik;SN90720;05.12.2009;1,9;-;3,5;-
Måsvik;SN90720;06.12.2009;0,3;-;4,1;-
Måsvik;SN90720;07.12.2009;2,6;-;3,9;-
Måsvik;SN90720;08.12.2009;2;-;3,7;-
Måsvik;SN90720;09.12.2009;1,4;-;4,2;-
Måsvik;SN90720;10.12.2009;2,3;-;3,6;-
Måsvik;SN90720;11.12.2009;4,7;-;6,5;-
Måsvik;SN90720;12.12.2009;4,4;-;4,6;-
Måsvik;SN90720;13.12.2009;0,8;-;5,3;-
Måsvik;SN90720;14.12.2009;-3,1;-;6,1;-
Måsvik;SN90720;15.12.2009;-3,6;-;2,5;-
Måsvik;SN90720;16.12.2009;-3,2;-;3,3;-
Måsvik;SN90720;17.12.2009;1,8;-;17;-
Måsvik;SN90720;18.12.2009;1,7;-;10,6;-
Måsvik;SN90720;19.12.2009;-0,8;-;5,1;-
Måsvik;SN90720;20.12.2009;-1,6;-;3,3;-
Måsvik;SN90720;21.12.2009;-1,8;-;5,3;-
Måsvik;SN90720;22.12.2009;-6,2;-;10,1;-
Måsvik;SN90720;23.12.2009;-6,9;-;8,1;-
Måsvik;SN90720;24.12.2009;-4,8;-;9,2;-
Måsvik;SN90720;25.12.2009;-5,4;-;6;-
Måsvik;SN90720;26.12.2009;-6,9;-;3,9;-
Måsvik;SN90720;27.12.2009;-5,4;-;5,3;-
Måsvik;SN90720;28.12.2009;-6,4;-;5,8;-
Måsvik;SN90720;29.12.2009;-6,3;-;4,1;-
Måsvik;SN90720;30.12.2009;-0,4;-;6,5;-
Måsvik;SN90720;31.12.2009;-2,6;-;4,7;-
Måsvik;SN90720;01.01.2010;-4,3;-;3,9;-
Måsvik;SN90720;02.01.2010;-1;-;5,5;-
Måsvik;SN90720;03.01.2010;-2,5;-;7,2;-
Måsvik;SN90720;04.01.2010;-5,9;-;5,5;-
Måsvik;SN90720;05.01.2010;-5,6;-;2,8;-
Måsvik;SN90720;06.01.2010;-3,2;-;4;-
Måsvik;SN90720;07.01.2010;-1,8;-;4,4;-
Måsvik;SN90720;08.01.2010;-0,4;-;9,9;-
Måsvik;SN90720;09.01.2010;3,5;-;12,8;-
Måsvik;SN90720;10.01.2010;5,1;-;16,5;-
Måsvik;SN90720;11.01.2010;0,7;-;7,1;-
Måsvik;SN90720;12.01.2010;1,8;-;5;-
Måsvik;SN90720;13.01.2010;3,5;-;8,7;-
Måsvik;SN90720;14.01.2010;2,7;-;4;-
Måsvik;SN90720;15.01.2010;1,4;-;3,3;-
Måsvik;SN90720;16.01.2010;2,3;-;2,6;-
Måsvik;SN90720;17.01.2010;1,7;-;3,4;-
Måsvik;SN90720;18.01.2010;1,7;-;3,7;-
Måsvik;SN90720;19.01.2010;2,7;-;5,8;-
Måsvik;SN90720;20.01.2010;5,5;-;9,2;-
Måsvik;SN90720;21.01.2010;4,2;-;2,6;-
Måsvik;SN90720;22.01.2010;0,9;-;2,7;-
Måsvik;SN90720;23.01.2010;-1,9;-;2,8;-
Måsvik;SN90720;24.01.2010;-0,6;-;3,8;-
Måsvik;SN90720;25.01.2010;1;-;3,6;-
Måsvik;SN90720;26.01.2010;5,4;-;10;-
Måsvik;SN90720;27.01.2010;1,3;-;9,1;-
Måsvik;SN90720;28.01.2010;-2,7;-;7,5;-
Måsvik;SN90720;29.01.2010;-9,7;-;9,9;-
Måsvik;SN90720;30.01.2010;-6,9;-;7;-
Måsvik;SN90720;31.01.2010;-6,6;-;6,8;-
Måsvik;SN90720;01.02.2010;-7,2;-;5,4;-
Måsvik;SN90720;02.02.2010;-4,8;-;6,3;-
Måsvik;SN90720;03.02.2010;-3,6;-;4,9;-
Måsvik;SN90720;04.02.2010;-0,7;-;4;-
Måsvik;SN90720;05.02.2010;0;-;7,9;-
Måsvik;SN90720;06.02.2010;1,1;-;6;-
Måsvik;SN90720;07.02.2010;-0,1;-;4,3;-
Måsvik;SN90720;08.02.2010;-2,1;-;4;-
Måsvik;SN90720;09.02.2010;-4,5;-;3,3;-
Måsvik;SN90720;10.02.2010;-2,2;-;3,9;-
Måsvik;SN90720;11.02.2010;-1,9;-;4,5;-
Måsvik;SN90720;12.02.2010;2,2;-;10,8;-
Måsvik;SN90720;13.02.2010;-0,6;-;15,6;-
Måsvik;SN90720;14.02.2010;1,5;-;9,6;-
Måsvik;SN90720;15.02.2010;0;-;3,2;-
Måsvik;SN90720;16.02.2010;-2,8;-;5,3;-
Måsvik;SN90720;17.02.2010;-6;-;5,4;-
