Navn;Stasjon;Tid(norsk normaltid);Snødybde
Oldervik;SN90980;22.02.2012;38
Oldervik;SN90980;24.02.2012;38
Oldervik;SN90980;25.02.2012;36
Oldervik;SN90980;26.02.2012;39
Oldervik;SN90980;27.02.2012;37
Oldervik;SN90980;28.02.2012;34
Oldervik;SN90980;29.02.2012;37
Oldervik;SN90980;01.03.2012;38
Oldervik;SN90980;02.03.2012;25
Oldervik;SN90980;03.03.2012;29
Oldervik;SN90980;10.03.2012;25
Oldervik;SN90980;11.03.2012;33
Oldervik;SN90980;12.03.2012;45
Oldervik;SN90980;13.03.2012;45
Oldervik;SN90980;14.03.2012;53
Oldervik;SN90980;15.03.2012;50
Oldervik;SN90980;17.03.2012;38
Oldervik;SN90980;18.03.2012;44
Oldervik;SN90980;25.03.2012;41
Oldervik;SN90980;26.03.2012;50
Oldervik;SN90980;27.03.2012;44
Oldervik;SN90980;31.03.2012;44
Oldervik;SN90980;01.04.2012;38
Oldervik;SN90980;04.04.2012;45
Oldervik;SN90980;05.04.2012;56
Oldervik;SN90980;06.04.2012;56
Oldervik;SN90980;07.04.2012;56
Oldervik;SN90980;14.04.2012;45
Oldervik;SN90980;26.12.2012;20
Oldervik;SN90980;28.12.2012;25
Oldervik;SN90980;29.12.2012;30
Oldervik;SN90980;05.01.2013;25
Oldervik;SN90980;09.01.2013;28
Oldervik;SN90980;20.01.2013;20
Oldervik;SN90980;21.01.2013;23
Oldervik;SN90980;22.01.2013;28
Oldervik;SN90980;23.01.2013;41
Oldervik;SN90980;24.01.2013;51
Oldervik;SN90980;25.01.2013;48
Oldervik;SN90980;27.01.2013;42
Oldervik;SN90980;28.01.2013;42
Oldervik;SN90980;31.01.2013;40
Oldervik;SN90980;21.02.2013;40
Oldervik;SN90980;24.02.2013;35
Oldervik;SN90980;27.02.2013;27
Oldervik;SN90980;01.03.2013;27
Oldervik;SN90980;04.03.2013;30
Oldervik;SN90980;05.03.2013;32
Oldervik;SN90980;06.03.2013;34
Oldervik;SN90980;07.03.2013;35
Oldervik;SN90980;08.03.2013;47
Oldervik;SN90980;09.03.2013;47
Oldervik;SN90980;10.03.2013;57
Oldervik;SN90980;11.03.2013;65
Oldervik;SN90980;12.03.2013;72
Oldervik;SN90980;16.03.2013;62
Oldervik;SN90980;22.03.2013;66
Oldervik;SN90980;23.03.2013;67
Oldervik;SN90980;24.03.2013;75
Oldervik;SN90980;25.03.2013;77
Oldervik;SN90980;26.03.2013;75
Oldervik;SN90980;27.03.2013;78
Oldervik;SN90980;28.03.2013;84
Oldervik;SN90980;29.03.2013;92
Oldervik;SN90980;30.03.2013;86
Oldervik;SN90980;31.03.2013;93
Oldervik;SN90980;01.04.2013;95
Oldervik;SN90980;02.04.2013;88
Oldervik;SN90980;03.04.2013;90
Oldervik;SN90980;04.04.2013;86
Oldervik;SN90980;05.04.2013;85
Oldervik;SN90980;06.04.2013;91
Oldervik;SN90980;07.04.2013;95
Oldervik;SN90980;08.04.2013;100
Oldervik;SN90980;09.04.2013;95
Oldervik;SN90980;10.04.2013;105
Oldervik;SN90980;17.12.2013;60
Oldervik;SN90980;25.12.2013;64
Oldervik;SN90980;03.01.2014;60
Oldervik;SN90980;10.01.2014;58
Oldervik;SN90980;15.01.2014;60
Oldervik;SN90980;27.01.2014;59
Oldervik;SN90980;31.01.2014;59
Oldervik;SN90980;03.02.2014;60
Oldervik;SN90980;07.02.2014;57
Oldervik;SN90980;18.02.2014;60
Oldervik;SN90980;19.02.2014;60
Oldervik;SN90980;20.02.2014;61
Oldervik;SN90980;21.02.2014;61
Oldervik;SN90980;28.02.2014;50
Oldervik;SN90980;11.03.2014;47
Oldervik;SN90980;15.03.2014;50
Oldervik;SN90980;16.03.2014;52
Oldervik;SN90980;18.03.2014;62
Oldervik;SN90980;19.03.2014;65
Oldervik;SN90980;20.03.2014;58
Oldervik;SN90980;21.03.2014;53
Oldervik;SN90980;22.03.2014;50
Oldervik;SN90980;23.03.2014;58
Oldervik;SN90980;24.03.2014;58
Oldervik;SN90980;25.03.2014;59
Oldervik;SN90980;29.03.2014;45
Oldervik;SN90980;30.03.2014;47
Oldervik;SN90980;31.03.2014;47
Oldervik;SN90980;01.04.2014;50
Oldervik;SN90980;02.04.2014;62
Oldervik;SN90980;03.04.2014;72
Oldervik;SN90980;04.04.2014;70
Oldervik;SN90980;05.04.2014;66
Oldervik;SN90980;06.04.2014;64
Oldervik;SN90980;07.04.2014;64
Oldervik;SN90980;08.04.2014;63
Oldervik;SN90980;14.04.2014;45
Oldervik;SN90980;15.04.2014;50
Oldervik;SN90980;16.04.2014;55
Oldervik;SN90980;18.04.2014;48
Oldervik;SN90980;22.12.2014;15
Oldervik;SN90980;25.12.2014;23
Oldervik;SN90980;26.12.2014;43
Oldervik;SN90980;27.12.2014;43
Oldervik;SN90980;28.12.2014;43
Oldervik;SN90980;29.12.2014;41
Oldervik;SN90980;30.12.2014;46
Oldervik;SN90980;05.01.2015;14
Oldervik;SN90980;12.01.2015;15
Oldervik;SN90980;25.01.2015;24
Oldervik;SN90980;26.01.2015;25
Oldervik;SN90980;06.02.2015;31
Oldervik;SN90980;09.02.2015;39
Oldervik;SN90980;10.02.2015;46
Oldervik;SN90980;11.02.2015;48
Oldervik;SN90980;12.02.2015;68
Oldervik;SN90980;13.02.2015;72
Oldervik;SN90980;14.02.2015;85
Oldervik;SN90980;15.02.2015;79
Oldervik;SN90980;16.02.2015;74
Oldervik;SN90980;18.02.2015;70
Oldervik;SN90980;19.02.2015;72
Oldervik;SN90980;23.02.2015;84
Oldervik;SN90980;24.02.2015;77
Oldervik;SN90980;25.02.2015;85
