Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Ringvassøya - Damvatnet;SN90612;31.07.2024;0
Ringvassøya - Damvatnet;SN90612;01.08.2024;0
Ringvassøya - Damvatnet;SN90612;02.08.2024;0,2
Ringvassøya - Damvatnet;SN90612;03.08.2024;0
Ringvassøya - Damvatnet;SN90612;04.08.2024;0
Ringvassøya - Damvatnet;SN90612;05.08.2024;0
Ringvassøya - Damvatnet;SN90612;06.08.2024;0
Ringvassøya - Damvatnet;SN90612;07.08.2024;0
Ringvassøya - Damvatnet;SN90612;08.08.2024;0
Ringvassøya - Damvatnet;SN90612;09.08.2024;0
Ringvassøya - Damvatnet;SN90612;10.08.2024;3,2
Ringvassøya - Damvatnet;SN90612;11.08.2024;0
Ringvassøya - Damvatnet;SN90612;12.08.2024;0
Ringvassøya - Damvatnet;SN90612;13.08.2024;0,5
Ringvassøya - Damvatnet;SN90612;14.08.2024;0
Ringvassøya - Damvatnet;SN90612;15.08.2024;0
Ringvassøya - Damvatnet;SN90612;16.08.2024;2,8
Ringvassøya - Damvatnet;SN90612;17.08.2024;23,6
Ringvassøya - Damvatnet;SN90612;18.08.2024;0
Ringvassøya - Damvatnet;SN90612;19.08.2024;2,3
Ringvassøya - Damvatnet;SN90612;20.08.2024;9,8
Ringvassøya - Damvatnet;SN90612;21.08.2024;0
Ringvassøya - Damvatnet;SN90612;22.08.2024;13,1
Ringvassøya - Damvatnet;SN90612;23.08.2024;0
Ringvassøya - Damvatnet;SN90612;24.08.2024;0
Ringvassøya - Damvatnet;SN90612;25.08.2024;6
Ringvassøya - Damvatnet;SN90612;26.08.2024;1,5
Ringvassøya - Damvatnet;SN90612;27.08.2024;2
Ringvassøya - Damvatnet;SN90612;28.08.2024;12,5
Ringvassøya - Damvatnet;SN90612;29.08.2024;0,3
Ringvassøya - Damvatnet;SN90612;30.08.2024;0
Ringvassøya - Damvatnet;SN90612;31.08.2024;0,9
Ringvassøya - Damvatnet;SN90612;01.09.2024;0
Ringvassøya - Damvatnet;SN90612;02.09.2024;0
Ringvassøya - Damvatnet;SN90612;03.09.2024;0
Ringvassøya - Damvatnet;SN90612;04.09.2024;0
Ringvassøya - Damvatnet;SN90612;05.09.2024;0,2
Ringvassøya - Damvatnet;SN90612;06.09.2024;0
Ringvassøya - Damvatnet;SN90612;07.09.2024;2,5
Ringvassøya - Damvatnet;SN90612;08.09.2024;2,9
Ringvassøya - Damvatnet;SN90612;09.09.2024;0
Ringvassøya - Damvatnet;SN90612;10.09.2024;0
Ringvassøya - Damvatnet;SN90612;11.09.2024;0
Ringvassøya - Damvatnet;SN90612;12.09.2024;0
Ringvassøya - Damvatnet;SN90612;13.09.2024;0
Ringvassøya - Damvatnet;SN90612;14.09.2024;0
