Navn;Stasjon;Tid(norsk normaltid);Snødybde
Sjursnes;SN91060;28.02.2012;55
Sjursnes;SN91060;29.02.2012;48
Sjursnes;SN91060;01.03.2012;45
Sjursnes;SN91060;02.03.2012;45
Sjursnes;SN91060;03.03.2012;50
Sjursnes;SN91060;04.03.2012;45
Sjursnes;SN91060;05.03.2012;45
Sjursnes;SN91060;06.03.2012;43
Sjursnes;SN91060;08.03.2012;41
Sjursnes;SN91060;09.03.2012;41
Sjursnes;SN91060;10.03.2012;36
Sjursnes;SN91060;11.03.2012;43
Sjursnes;SN91060;12.03.2012;65
Sjursnes;SN91060;13.03.2012;70
Sjursnes;SN91060;14.03.2012;100
Sjursnes;SN91060;15.03.2012;90
Sjursnes;SN91060;16.03.2012;60
Sjursnes;SN91060;17.03.2012;60
Sjursnes;SN91060;18.03.2012;65
Sjursnes;SN91060;19.03.2012;63
Sjursnes;SN91060;20.03.2012;61
Sjursnes;SN91060;21.03.2012;61
Sjursnes;SN91060;22.03.2012;62
Sjursnes;SN91060;23.03.2012;55
Sjursnes;SN91060;24.03.2012;55
Sjursnes;SN91060;25.03.2012;65
Sjursnes;SN91060;26.03.2012;80
Sjursnes;SN91060;27.03.2012;65
Sjursnes;SN91060;28.03.2012;55
Sjursnes;SN91060;29.03.2012;55
Sjursnes;SN91060;30.03.2012;55
Sjursnes;SN91060;31.03.2012;65
Sjursnes;SN91060;01.04.2012;62
Sjursnes;SN91060;02.04.2012;62
Sjursnes;SN91060;03.04.2012;62
Sjursnes;SN91060;04.04.2012;66
Sjursnes;SN91060;05.04.2012;77
Sjursnes;SN91060;06.04.2012;76
Sjursnes;SN91060;07.04.2012;75
Sjursnes;SN91060;10.04.2012;75
Sjursnes;SN91060;13.04.2012;70
Sjursnes;SN91060;15.04.2012;70
Sjursnes;SN91060;19.04.2012;70
Sjursnes;SN91060;18.12.2012;10
Sjursnes;SN91060;19.12.2012;10
Sjursnes;SN91060;26.12.2012;10
Sjursnes;SN91060;28.12.2012;10
Sjursnes;SN91060;29.12.2012;20
Sjursnes;SN91060;30.12.2012;15
Sjursnes;SN91060;01.01.2013;15
Sjursnes;SN91060;03.01.2013;15
Sjursnes;SN91060;05.01.2013;25
Sjursnes;SN91060;06.01.2013;25
Sjursnes;SN91060;07.01.2013;15
Sjursnes;SN91060;08.01.2013;15
Sjursnes;SN91060;09.01.2013;50
Sjursnes;SN91060;10.01.2013;30
Sjursnes;SN91060;11.01.2013;25
Sjursnes;SN91060;12.01.2013;22
Sjursnes;SN91060;13.01.2013;20
Sjursnes;SN91060;14.01.2013;20
Sjursnes;SN91060;15.01.2013;25
Sjursnes;SN91060;17.01.2013;25
Sjursnes;SN91060;19.01.2013;30
Sjursnes;SN91060;20.01.2013;34
Sjursnes;SN91060;21.01.2013;38
Sjursnes;SN91060;22.01.2013;50
Sjursnes;SN91060;23.01.2013;60
Sjursnes;SN91060;24.01.2013;65
Sjursnes;SN91060;25.01.2013;63
Sjursnes;SN91060;26.01.2013;60
Sjursnes;SN91060;27.01.2013;58
Sjursnes;SN91060;29.01.2013;55
Sjursnes;SN91060;01.02.2013;54
Sjursnes;SN91060;02.02.2013;54
Sjursnes;SN91060;03.02.2013;54
Sjursnes;SN91060;04.02.2013;54
