Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Middel av middelvind fra hovedobs. (døgn)
Skattøra;SN90500;01.01.1957;-4,4;-;3,3
Skattøra;SN90500;02.01.1957;-1,1;0;8,8
Skattøra;SN90500;03.01.1957;0,2;0;5,8
Skattøra;SN90500;04.01.1957;-2,9;0;0
Skattøra;SN90500;05.01.1957;-0,2;0;3,8
Skattøra;SN90500;06.01.1957;-2,6;0;1,9
Skattøra;SN90500;07.01.1957;-0,7;0;6,2
Skattøra;SN90500;08.01.1957;2,3;2;9,4
Skattøra;SN90500;09.01.1957;0,9;22,2;3,3
Skattøra;SN90500;10.01.1957;-1;0,8;3,9
Skattøra;SN90500;11.01.1957;-1,7;3;5,3
Skattøra;SN90500;12.01.1957;-5,9;3,2;0,3
Skattøra;SN90500;13.01.1957;-5,6;0;5,5
Skattøra;SN90500;14.01.1957;1,5;0;12,3
Skattøra;SN90500;15.01.1957;-2;9,3;5,3
Skattøra;SN90500;16.01.1957;-0,3;14,4;6,5
Skattøra;SN90500;17.01.1957;4,7;18,8;6,2
Skattøra;SN90500;18.01.1957;2,3;23,9;8,2
Skattøra;SN90500;19.01.1957;-4,5;18,1;4,6
Skattøra;SN90500;20.01.1957;1,2;7,3;8,9
Skattøra;SN90500;21.01.1957;0;3,9;7
Skattøra;SN90500;22.01.1957;1;5,4;7,9
Skattøra;SN90500;23.01.1957;-1,3;0,1;4,1
Skattøra;SN90500;24.01.1957;0,9;1,4;5,3
Skattøra;SN90500;25.01.1957;-2,5;0;5,5
Skattøra;SN90500;26.01.1957;-2,1;0;4,8
Skattøra;SN90500;27.01.1957;-2,6;0;3,9
Skattøra;SN90500;28.01.1957;-3,2;0;6,3
Skattøra;SN90500;29.01.1957;-0,2;0;7,7
Skattøra;SN90500;30.01.1957;1,3;2,5;8,6
Skattøra;SN90500;31.01.1957;4,1;22,1;4
Skattøra;SN90500;01.02.1957;0,1;0;3,1
Skattøra;SN90500;02.02.1957;2,2;0;5,3
Skattøra;SN90500;03.02.1957;1,7;3;6,7
Skattøra;SN90500;04.02.1957;0,7;26,7;5,8
Skattøra;SN90500;05.02.1957;-1,1;0,1;2,7
