Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn)
Stakkevollan;SN90495;21.10.2011;3,8;-
Stakkevollan;SN90495;22.10.2011;1,3;0,1
Stakkevollan;SN90495;23.10.2011;4,2;0
Stakkevollan;SN90495;24.10.2011;9,1;5,9
Stakkevollan;SN90495;25.10.2011;10,3;0
Stakkevollan;SN90495;26.10.2011;4,5;0
Stakkevollan;SN90495;27.10.2011;5,2;0
Stakkevollan;SN90495;28.10.2011;4,3;0
Stakkevollan;SN90495;29.10.2011;5,8;4,5
Stakkevollan;SN90495;30.10.2011;7,6;14,1
Stakkevollan;SN90495;31.10.2011;3,2;9,9
Stakkevollan;SN90495;01.11.2011;5,7;5
Stakkevollan;SN90495;02.11.2011;5,9;27
Stakkevollan;SN90495;03.11.2011;2,6;7,4
Stakkevollan;SN90495;04.11.2011;2,3;0,4
Stakkevollan;SN90495;05.11.2011;5,8;0,1
Stakkevollan;SN90495;12.11.2011;6,8;1,4
Stakkevollan;SN90495;13.11.2011;5,8;0
Stakkevollan;SN90495;14.11.2011;-0,9;16,8
Stakkevollan;SN90495;15.11.2011;1,2;7,6
Stakkevollan;SN90495;16.11.2011;5,1;31,9
Stakkevollan;SN90495;17.11.2011;1,4;14,2
Stakkevollan;SN90495;18.11.2011;0,7;0,3
Stakkevollan;SN90495;19.11.2011;-3,3;7,7
Stakkevollan;SN90495;20.11.2011;-5,3;1,3
Stakkevollan;SN90495;21.11.2011;0,5;0
Stakkevollan;SN90495;22.11.2011;7,6;0,9
Stakkevollan;SN90495;23.11.2011;6,4;3,8
Stakkevollan;SN90495;24.11.2011;3,8;2
Stakkevollan;SN90495;25.11.2011;3,2;13,5
Stakkevollan;SN90495;26.11.2011;1;0
Stakkevollan;SN90495;27.11.2011;-0,3;0,6
Stakkevollan;SN90495;28.11.2011;-1,6;0
Stakkevollan;SN90495;29.11.2011;0,8;0,2
Stakkevollan;SN90495;30.11.2011;4,9;0
Stakkevollan;SN90495;01.12.2011;3,9;8,6
Stakkevollan;SN90495;02.12.2011;2,3;1
Stakkevollan;SN90495;03.12.2011;-0,8;10,6
Stakkevollan;SN90495;04.12.2011;0,5;0
Stakkevollan;SN90495;05.12.2011;-0,9;0
Stakkevollan;SN90495;06.12.2011;0,2;0
Stakkevollan;SN90495;07.12.2011;-1,5;2,2
Stakkevollan;SN90495;08.12.2011;-5,8;1,4
Stakkevollan;SN90495;09.12.2011;-7,5;0,1
Stakkevollan;SN90495;10.12.2011;-1,9;0,1
Stakkevollan;SN90495;11.12.2011;-0,9;0,7
Stakkevollan;SN90495;12.12.2011;-5;7,1
Stakkevollan;SN90495;13.12.2011;-6,4;0,1
Stakkevollan;SN90495;14.12.2011;0,6;0
Stakkevollan;SN90495;15.12.2011;2,2;22,4
Stakkevollan;SN90495;16.12.2011;0,4;0
Stakkevollan;SN90495;17.12.2011;-3,2;0
Stakkevollan;SN90495;18.12.2011;-5,5;0
Stakkevollan;SN90495;19.12.2011;-0,9;0
Stakkevollan;SN90495;20.12.2011;0,1;0
Stakkevollan;SN90495;21.12.2011;0,8;0
Stakkevollan;SN90495;22.12.2011;-0,7;0
Stakkevollan;SN90495;23.12.2011;3,5;0
Stakkevollan;SN90495;24.12.2011;1,5;5,6
Stakkevollan;SN90495;25.12.2011;3;7,4
Stakkevollan;SN90495;26.12.2011;1,4;3,1
Stakkevollan;SN90495;27.12.2011;-1,2;4,3
Stakkevollan;SN90495;28.12.2011;-0,7;7,3
Stakkevollan;SN90495;29.12.2011;-2,3;7,3
Stakkevollan;SN90495;30.12.2011;-4,9;0
Stakkevollan;SN90495;31.12.2011;-8,4;0
Stakkevollan;SN90495;01.01.2012;-0,8;0
Stakkevollan;SN90495;02.01.2012;0,6;0
Stakkevollan;SN90495;03.01.2012;-1,2;0
Stakkevollan;SN90495;04.01.2012;-1,8;0
Stakkevollan;SN90495;05.01.2012;-7,6;0
Stakkevollan;SN90495;06.01.2012;-9,1;0
Stakkevollan;SN90495;07.01.2012;-6,4;0
Stakkevollan;SN90495;08.01.2012;-3,7;0
Stakkevollan;SN90495;09.01.2012;-7,1;3,6
Stakkevollan;SN90495;10.01.2012;-5,9;0,1
Stakkevollan;SN90495;11.01.2012;-1,7;0,4
Stakkevollan;SN90495;12.01.2012;-6;0,1
Stakkevollan;SN90495;13.01.2012;-6,4;0
Stakkevollan;SN90495;14.01.2012;-3,9;0
Stakkevollan;SN90495;15.01.2012;2,4;0
Stakkevollan;SN90495;16.01.2012;0,8;7
Stakkevollan;SN90495;17.01.2012;1,9;1,6
Stakkevollan;SN90495;18.01.2012;0,7;1,6
Stakkevollan;SN90495;19.01.2012;-1,8;0
Stakkevollan;SN90495;20.01.2012;-4;0
Stakkevollan;SN90495;21.01.2012;-6,3;0
Stakkevollan;SN90495;22.01.2012;-7,5;0
Stakkevollan;SN90495;23.01.2012;-8,1;0
Stakkevollan;SN90495;24.01.2012;-5,2;0
Stakkevollan;SN90495;25.01.2012;-3,6;0
Stakkevollan;SN90495;26.01.2012;-2,7;0
Stakkevollan;SN90495;27.01.2012;-2,6;0
Stakkevollan;SN90495;28.01.2012;-4,9;0
Stakkevollan;SN90495;29.01.2012;-7,3;0
Stakkevollan;SN90495;30.01.2012;-7,9;0
Stakkevollan;SN90495;31.01.2012;-5,1;0
Stakkevollan;SN90495;01.02.2012;-2,2;0
Stakkevollan;SN90495;02.02.2012;-5,7;0
Stakkevollan;SN90495;03.02.2012;-5,8;0
Stakkevollan;SN90495;04.02.2012;-7,6;0
Stakkevollan;SN90495;05.02.2012;-13,3;0
Stakkevollan;SN90495;06.02.2012;-16,6;0
Stakkevollan;SN90495;07.02.2012;-5,8;0
Stakkevollan;SN90495;08.02.2012;3,2;0
Stakkevollan;SN90495;09.02.2012;3,5;0
Stakkevollan;SN90495;10.02.2012;3,5;1,3
Stakkevollan;SN90495;11.02.2012;1,2;4,9
Stakkevollan;SN90495;12.02.2012;-2,2;11,7
Stakkevollan;SN90495;13.02.2012;-3,5;2,2
Stakkevollan;SN90495;14.02.2012;-3,3;0
Stakkevollan;SN90495;15.02.2012;-4,5;0
Stakkevollan;SN90495;16.02.2012;-2,9;0
Stakkevollan;SN90495;17.02.2012;-0,3;1,9
Stakkevollan;SN90495;18.02.2012;-0,9;2,5
Stakkevollan;SN90495;19.02.2012;-1,4;0
Stakkevollan;SN90495;20.02.2012;-3;3,5
Stakkevollan;SN90495;21.02.2012;-1,8;7,6
Stakkevollan;SN90495;22.02.2012;-3,4;9,9
Stakkevollan;SN90495;23.02.2012;-3,6;0,6
Stakkevollan;SN90495;24.02.2012;-4,9;7,6
Stakkevollan;SN90495;25.02.2012;-4,3;0
Stakkevollan;SN90495;26.02.2012;-2,8;11,3
Stakkevollan;SN90495;27.02.2012;-1,3;2,2
Stakkevollan;SN90495;28.02.2012;0;0
Stakkevollan;SN90495;29.02.2012;-0,2;10,6
Stakkevollan;SN90495;01.03.2012;1,8;4,1
Stakkevollan;SN90495;02.03.2012;0,2;16,3
Stakkevollan;SN90495;03.03.2012;-2,3;6,6
Stakkevollan;SN90495;04.03.2012;-3;0
Stakkevollan;SN90495;05.03.2012;-3;0
Stakkevollan;SN90495;06.03.2012;-3,7;0
Stakkevollan;SN90495;07.03.2012;-2,6;0
Stakkevollan;SN90495;08.03.2012;0,4;0
Stakkevollan;SN90495;09.03.2012;1,8;0,2
Stakkevollan;SN90495;10.03.2012;0,9;0,7
Stakkevollan;SN90495;11.03.2012;-0,1;9,1
Stakkevollan;SN90495;12.03.2012;-0,2;5,7
Stakkevollan;SN90495;13.03.2012;-1,7;9,1
Stakkevollan;SN90495;14.03.2012;-1,1;1,9
Stakkevollan;SN90495;15.03.2012;2,8;2,6
Stakkevollan;SN90495;16.03.2012;1,4;36,1
Stakkevollan;SN90495;17.03.2012;-2;11,3
Stakkevollan;SN90495;18.03.2012;0,1;4,5
Stakkevollan;SN90495;19.03.2012;-0,5;0,2
Stakkevollan;SN90495;20.03.2012;-2,5;0
Stakkevollan;SN90495;21.03.2012;-3,3;0
Stakkevollan;SN90495;22.03.2012;0,2;1,5
Stakkevollan;SN90495;23.03.2012;1,5;4,1
Stakkevollan;SN90495;24.03.2012;0,5;0,6
Stakkevollan;SN90495;25.03.2012;-0,4;5,6
Stakkevollan;SN90495;26.03.2012;0,5;6,6
Stakkevollan;SN90495;27.03.2012;3,1;15,9
Stakkevollan;SN90495;28.03.2012;2,2;16,1
Stakkevollan;SN90495;29.03.2012;-0,8;3,3
Stakkevollan;SN90495;30.03.2012;-3,4;0
Stakkevollan;SN90495;31.03.2012;-3,3;4,4
Stakkevollan;SN90495;01.04.2012;-4,5;0,9
Stakkevollan;SN90495;02.04.2012;-5,7;0
Stakkevollan;SN90495;03.04.2012;-4,3;0
Stakkevollan;SN90495;04.04.2012;-3,6;3,2
Stakkevollan;SN90495;05.04.2012;-4,6;13,3
Stakkevollan;SN90495;06.04.2012;-4,4;5,7
Stakkevollan;SN90495;07.04.2012;-1,6;7,4
Stakkevollan;SN90495;08.04.2012;-2,6;5,7
Stakkevollan;SN90495;09.04.2012;-3;0,1
Stakkevollan;SN90495;10.04.2012;-1,9;0
Stakkevollan;SN90495;11.04.2012;0,5;0
Stakkevollan;SN90495;12.04.2012;1,3;2,4
Stakkevollan;SN90495;13.04.2012;0,4;0,8
Stakkevollan;SN90495;14.04.2012;-0,6;0,9
Stakkevollan;SN90495;15.04.2012;-1,9;0
Stakkevollan;SN90495;16.04.2012;-0,3;0
Stakkevollan;SN90495;17.04.2012;0,3;0,1
Stakkevollan;SN90495;18.04.2012;-0,6;0
