Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Tromsø Lh - Storkjølen;SN90491;18.12.2013;9,9
Tromsø Lh - Storkjølen;SN90491;19.12.2013;10,7
Tromsø Lh - Storkjølen;SN90491;20.12.2013;8,8
Tromsø Lh - Storkjølen;SN90491;21.12.2013;5,8
Tromsø Lh - Storkjølen;SN90491;22.12.2013;6,6
Tromsø Lh - Storkjølen;SN90491;23.12.2013;3,9
Tromsø Lh - Storkjølen;SN90491;24.12.2013;13,6
Tromsø Lh - Storkjølen;SN90491;25.12.2013;12,3
Tromsø Lh - Storkjølen;SN90491;26.12.2013;8,3
Tromsø Lh - Storkjølen;SN90491;27.12.2013;13
Tromsø Lh - Storkjølen;SN90491;28.12.2013;11,5
Tromsø Lh - Storkjølen;SN90491;29.12.2013;3,1
Tromsø Lh - Storkjølen;SN90491;30.12.2013;3
Tromsø Lh - Storkjølen;SN90491;31.12.2013;8,1
Tromsø Lh - Storkjølen;SN90491;01.01.2014;12,2
Tromsø Lh - Storkjølen;SN90491;02.01.2014;12,8
Tromsø Lh - Storkjølen;SN90491;03.01.2014;8,5
Tromsø Lh - Storkjølen;SN90491;04.01.2014;9,4
Tromsø Lh - Storkjølen;SN90491;05.01.2014;3,5
Tromsø Lh - Storkjølen;SN90491;06.01.2014;7,5
Tromsø Lh - Storkjølen;SN90491;07.01.2014;12
Tromsø Lh - Storkjølen;SN90491;08.01.2014;8
Tromsø Lh - Storkjølen;SN90491;09.01.2014;10,6
Tromsø Lh - Storkjølen;SN90491;10.01.2014;5,5
Tromsø Lh - Storkjølen;SN90491;11.01.2014;3,7
Tromsø Lh - Storkjølen;SN90491;12.01.2014;3,2
Tromsø Lh - Storkjølen;SN90491;13.01.2014;3,2
Tromsø Lh - Storkjølen;SN90491;14.01.2014;3,8
Tromsø Lh - Storkjølen;SN90491;15.01.2014;9,8
Tromsø Lh - Storkjølen;SN90491;16.01.2014;14,5
Tromsø Lh - Storkjølen;SN90491;17.01.2014;10,6
Tromsø Lh - Storkjølen;SN90491;18.01.2014;4,1
Tromsø Lh - Storkjølen;SN90491;19.01.2014;2,5
Tromsø Lh - Storkjølen;SN90491;20.01.2014;5
Tromsø Lh - Storkjølen;SN90491;21.01.2014;8,9
Tromsø Lh - Storkjølen;SN90491;22.01.2014;2,1
Tromsø Lh - Storkjølen;SN90491;23.01.2014;2,3
Tromsø Lh - Storkjølen;SN90491;24.01.2014;4,9
Tromsø Lh - Storkjølen;SN90491;25.01.2014;4,5
Tromsø Lh - Storkjølen;SN90491;26.01.2014;6
Tromsø Lh - Storkjølen;SN90491;27.01.2014;8,3
Tromsø Lh - Storkjølen;SN90491;28.01.2014;14,2
Tromsø Lh - Storkjølen;SN90491;29.01.2014;9,1
Tromsø Lh - Storkjølen;SN90491;30.01.2014;4,9
Tromsø Lh - Storkjølen;SN90491;31.01.2014;4,5
Tromsø Lh - Storkjølen;SN90491;01.02.2014;8,3
Tromsø Lh - Storkjølen;SN90491;02.02.2014;13,1
Tromsø Lh - Storkjølen;SN90491;03.02.2014;10,8
Tromsø Lh - Storkjølen;SN90491;04.02.2014;6,8
Tromsø Lh - Storkjølen;SN90491;05.02.2014;4,7
Tromsø Lh - Storkjølen;SN90491;06.02.2014;4,9
Tromsø Lh - Storkjølen;SN90491;07.02.2014;9,5
Tromsø Lh - Storkjølen;SN90491;08.02.2014;13,9
Tromsø Lh - Storkjølen;SN90491;09.02.2014;15,5
Tromsø Lh - Storkjølen;SN90491;10.02.2014;20
Tromsø Lh - Storkjølen;SN90491;11.02.2014;10,4
Tromsø Lh - Storkjølen;SN90491;12.02.2014;4,3
Tromsø Lh - Storkjølen;SN90491;13.02.2014;11,8
Tromsø Lh - Storkjølen;SN90491;14.02.2014;15
Tromsø Lh - Storkjølen;SN90491;15.02.2014;11,7
Tromsø Lh - Storkjølen;SN90491;16.02.2014;17,6
Tromsø Lh - Storkjølen;SN90491;17.02.2014;6,8
Tromsø Lh - Storkjølen;SN90491;18.02.2014;4,6
Tromsø Lh - Storkjølen;SN90491;19.02.2014;3,6
Tromsø Lh - Storkjølen;SN90491;20.02.2014;5,4
Tromsø Lh - Storkjølen;SN90491;21.02.2014;17,9
Tromsø Lh - Storkjølen;SN90491;22.02.2014;15,5
Tromsø Lh - Storkjølen;SN90491;23.02.2014;12,7
Tromsø Lh - Storkjølen;SN90491;24.02.2014;14,4
Tromsø Lh - Storkjølen;SN90491;25.02.2014;11,4
Tromsø Lh - Storkjølen;SN90491;26.02.2014;7,7
Tromsø Lh - Storkjølen;SN90491;27.02.2014;5,8
Tromsø Lh - Storkjølen;SN90491;28.02.2014;5,1
Tromsø Lh - Storkjølen;SN90491;01.03.2014;4,3
Tromsø Lh - Storkjølen;SN90491;02.03.2014;7,3
Tromsø Lh - Storkjølen;SN90491;03.03.2014;6,1
Tromsø Lh - Storkjølen;SN90491;04.03.2014;3,9
Tromsø Lh - Storkjølen;SN90491;05.03.2014;12
Tromsø Lh - Storkjølen;SN90491;06.03.2014;19,6
Tromsø Lh - Storkjølen;SN90491;07.03.2014;18,3
Tromsø Lh - Storkjølen;SN90491;08.03.2014;22,7
Tromsø Lh - Storkjølen;SN90491;09.03.2014;15,5
Tromsø Lh - Storkjølen;SN90491;10.03.2014;18,7
Tromsø Lh - Storkjølen;SN90491;11.03.2014;14,8
Tromsø Lh - Storkjølen;SN90491;12.03.2014;15,6
Tromsø Lh - Storkjølen;SN90491;13.03.2014;13,1
Tromsø Lh - Storkjølen;SN90491;14.03.2014;11,8
Tromsø Lh - Storkjølen;SN90491;15.03.2014;7,7
Tromsø Lh - Storkjølen;SN90491;16.03.2014;5,3
Tromsø Lh - Storkjølen;SN90491;17.03.2014;4,5
Tromsø Lh - Storkjølen;SN90491;18.03.2014;1,5
Tromsø Lh - Storkjølen;SN90491;19.03.2014;3,6
Tromsø Lh - Storkjølen;SN90491;20.03.2014;8,2
Tromsø Lh - Storkjølen;SN90491;21.03.2014;14,5
Tromsø Lh - Storkjølen;SN90491;22.03.2014;6,6
Tromsø Lh - Storkjølen;SN90491;23.03.2014;5,7
Tromsø Lh - Storkjølen;SN90491;24.03.2014;11
Tromsø Lh - Storkjølen;SN90491;25.03.2014;10,4
Tromsø Lh - Storkjølen;SN90491;26.03.2014;11,7
Tromsø Lh - Storkjølen;SN90491;27.03.2014;7,3
Tromsø Lh - Storkjølen;SN90491;28.03.2014;3,9
Tromsø Lh - Storkjølen;SN90491;29.03.2014;17,6
Tromsø Lh - Storkjølen;SN90491;30.03.2014;9,1
Tromsø Lh - Storkjølen;SN90491;31.03.2014;8,4
Tromsø Lh - Storkjølen;SN90491;01.04.2014;8,6
Tromsø Lh - Storkjølen;SN90491;02.04.2014;10,8
Tromsø Lh - Storkjølen;SN90491;03.04.2014;10,9
Tromsø Lh - Storkjølen;SN90491;04.04.2014;12,2
Tromsø Lh - Storkjølen;SN90491;05.04.2014;15,2
Tromsø Lh - Storkjølen;SN90491;06.04.2014;9,2
Tromsø Lh - Storkjølen;SN90491;07.04.2014;7
Tromsø Lh - Storkjølen;SN90491;08.04.2014;7,9
Tromsø Lh - Storkjølen;SN90491;09.04.2014;11,4
Tromsø Lh - Storkjølen;SN90491;10.04.2014;12,9
Tromsø Lh - Storkjølen;SN90491;11.04.2014;10,4
Tromsø Lh - Storkjølen;SN90491;12.04.2014;9,7
Tromsø Lh - Storkjølen;SN90491;13.04.2014;4,1
Tromsø Lh - Storkjølen;SN90491;14.04.2014;9,5
Tromsø Lh - Storkjølen;SN90491;15.04.2014;17,3
Tromsø Lh - Storkjølen;SN90491;16.04.2014;17,9
Tromsø Lh - Storkjølen;SN90491;17.04.2014;10,6
Tromsø Lh - Storkjølen;SN90491;18.04.2014;14,4
Tromsø Lh - Storkjølen;SN90491;19.04.2014;20,2
Tromsø Lh - Storkjølen;SN90491;20.04.2014;10,1
Tromsø Lh - Storkjølen;SN90491;21.04.2014;12,2
Tromsø Lh - Storkjølen;SN90491;22.04.2014;20,1
Tromsø Lh - Storkjølen;SN90491;23.04.2014;11,9
Tromsø Lh - Storkjølen;SN90491;24.04.2014;8,2
Tromsø Lh - Storkjølen;SN90491;25.04.2014;5,1
Tromsø Lh - Storkjølen;SN90491;26.04.2014;7,8
Tromsø Lh - Storkjølen;SN90491;27.04.2014;5,4
Tromsø Lh - Storkjølen;SN90491;28.04.2014;4,8
Tromsø Lh - Storkjølen;SN90491;29.04.2014;4,1
Tromsø Lh - Storkjølen;SN90491;30.04.2014;4,1
Tromsø Lh - Storkjølen;SN90491;01.05.2014;7,4
Tromsø Lh - Storkjølen;SN90491;02.05.2014;6,2
Tromsø Lh - Storkjølen;SN90491;03.05.2014;7
Tromsø Lh - Storkjølen;SN90491;04.05.2014;4,4
Tromsø Lh - Storkjølen;SN90491;05.05.2014;3,2
Tromsø Lh - Storkjølen;SN90491;06.05.2014;5,8
Tromsø Lh - Storkjølen;SN90491;07.05.2014;6,9
Tromsø Lh - Storkjølen;SN90491;08.05.2014;10,5
Tromsø Lh - Storkjølen;SN90491;09.05.2014;8,2
Tromsø Lh - Storkjølen;SN90491;10.05.2014;2,9
Tromsø Lh - Storkjølen;SN90491;11.05.2014;3,1
Tromsø Lh - Storkjølen;SN90491;12.05.2014;5
Tromsø Lh - Storkjølen;SN90491;13.05.2014;8,4
Tromsø Lh - Storkjølen;SN90491;14.05.2014;9,8
Tromsø Lh - Storkjølen;SN90491;15.05.2014;6,6
Tromsø Lh - Storkjølen;SN90491;16.05.2014;7,9
Tromsø Lh - Storkjølen;SN90491;17.05.2014;16,9
Tromsø Lh - Storkjølen;SN90491;18.05.2014;10,3
Tromsø Lh - Storkjølen;SN90491;19.05.2014;9,9
Tromsø Lh - Storkjølen;SN90491;20.05.2014;8
Tromsø Lh - Storkjølen;SN90491;21.05.2014;5,9
Tromsø Lh - Storkjølen;SN90491;22.05.2014;6,3
Tromsø Lh - Storkjølen;SN90491;23.05.2014;8,6
Tromsø Lh - Storkjølen;SN90491;24.05.2014;11,4
Tromsø Lh - Storkjølen;SN90491;25.05.2014;6,4
Tromsø Lh - Storkjølen;SN90491;26.05.2014;6
Tromsø Lh - Storkjølen;SN90491;27.05.2014;4
Tromsø Lh - Storkjølen;SN90491;28.05.2014;4
Tromsø Lh - Storkjølen;SN90491;29.05.2014;3,9
Tromsø Lh - Storkjølen;SN90491;30.05.2014;4,8
Tromsø Lh - Storkjølen;SN90491;31.05.2014;4,4
Tromsø Lh - Storkjølen;SN90491;01.06.2014;6,7
Tromsø Lh - Storkjølen;SN90491;02.06.2014;6
Tromsø Lh - Storkjølen;SN90491;03.06.2014;7,5
Tromsø Lh - Storkjølen;SN90491;04.06.2014;5,6
Tromsø Lh - Storkjølen;SN90491;05.06.2014;5,2
Tromsø Lh - Storkjølen;SN90491;06.06.2014;2,1
Tromsø Lh - Storkjølen;SN90491;07.06.2014;3
Tromsø Lh - Storkjølen;SN90491;08.06.2014;4,3
Tromsø Lh - Storkjølen;SN90491;09.06.2014;3,8
Tromsø Lh - Storkjølen;SN90491;10.06.2014;4,9
Tromsø Lh - Storkjølen;SN90491;11.06.2014;4
Tromsø Lh - Storkjølen;SN90491;12.06.2014;4,9
Tromsø Lh - Storkjølen;SN90491;13.06.2014;8,1
Tromsø Lh - Storkjølen;SN90491;14.06.2014;7,3
Tromsø Lh - Storkjølen;SN90491;15.06.2014;11,4
Tromsø Lh - Storkjølen;SN90491;16.06.2014;10,2
Tromsø Lh - Storkjølen;SN90491;17.06.2014;10,1
Tromsø Lh - Storkjølen;SN90491;18.06.2014;10,2
Tromsø Lh - Storkjølen;SN90491;19.06.2014;6,6
Tromsø Lh - Storkjølen;SN90491;20.06.2014;13,7
Tromsø Lh - Storkjølen;SN90491;21.06.2014;11,5
Tromsø Lh - Storkjølen;SN90491;22.06.2014;7,9
Tromsø Lh - Storkjølen;SN90491;23.06.2014;5,4
Tromsø Lh - Storkjølen;SN90491;24.06.2014;3,6
Tromsø Lh - Storkjølen;SN90491;25.06.2014;5,4
Tromsø Lh - Storkjølen;SN90491;26.06.2014;4,9
Tromsø Lh - Storkjølen;SN90491;27.06.2014;3,2
Tromsø Lh - Storkjølen;SN90491;28.06.2014;1,9
Tromsø Lh - Storkjølen;SN90491;29.06.2014;3,7
