Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn)
Tromsdalen;SN90510;21.10.2011;4;-
Tromsdalen;SN90510;22.10.2011;-0,5;0
Tromsdalen;SN90510;23.10.2011;3,2;0
Tromsdalen;SN90510;24.10.2011;9,9;0
Tromsdalen;SN90510;25.10.2011;10,9;0
Tromsdalen;SN90510;26.10.2011;2,5;0
Tromsdalen;SN90510;27.10.2011;3,6;0
Tromsdalen;SN90510;28.10.2011;3,5;0
Tromsdalen;SN90510;29.10.2011;6,4;7,6
Tromsdalen;SN90510;30.10.2011;8,1;14,7
Tromsdalen;SN90510;31.10.2011;3,5;13
Tromsdalen;SN90510;01.11.2011;5,5;5,1
Tromsdalen;SN90510;02.11.2011;6,6;27,6
Tromsdalen;SN90510;03.11.2011;3,2;17
Tromsdalen;SN90510;04.11.2011;1,1;0,8
Tromsdalen;SN90510;05.11.2011;5,2;0
Tromsdalen;SN90510;06.11.2011;8,6;0,4
Tromsdalen;SN90510;07.11.2011;6,5;4,8
Tromsdalen;SN90510;08.11.2011;4,3;10,8
Tromsdalen;SN90510;09.11.2011;7,2;0,4
Tromsdalen;SN90510;10.11.2011;8,5;0
Tromsdalen;SN90510;11.11.2011;8,8;8,3
Tromsdalen;SN90510;12.11.2011;6,9;0,8
Tromsdalen;SN90510;13.11.2011;6,5;0
Tromsdalen;SN90510;14.11.2011;-0,5;9
Tromsdalen;SN90510;15.11.2011;0,7;7
Tromsdalen;SN90510;16.11.2011;5,7;27,9
Tromsdalen;SN90510;17.11.2011;1,6;11,3
Tromsdalen;SN90510;18.11.2011;1,1;0,1
Tromsdalen;SN90510;19.11.2011;-3,5;5,4
Tromsdalen;SN90510;20.11.2011;-7,1;0,4
Tromsdalen;SN90510;21.11.2011;0;0
Tromsdalen;SN90510;22.11.2011;8,2;1,5
Tromsdalen;SN90510;23.11.2011;7,3;6,8
Tromsdalen;SN90510;24.11.2011;4,2;4,8
Tromsdalen;SN90510;25.11.2011;4,1;20,5
Tromsdalen;SN90510;26.11.2011;-0,5;0
Tromsdalen;SN90510;27.11.2011;-0,6;0
Tromsdalen;SN90510;28.11.2011;-2;0
Tromsdalen;SN90510;29.11.2011;0,4;1,5
Tromsdalen;SN90510;30.11.2011;5,7;0
Tromsdalen;SN90510;01.12.2011;4,7;15,7
Tromsdalen;SN90510;02.12.2011;2,7;4,8
Tromsdalen;SN90510;03.12.2011;-0,7;11,3
Tromsdalen;SN90510;04.12.2011;-0,2;0
Tromsdalen;SN90510;05.12.2011;-2,2;0
Tromsdalen;SN90510;06.12.2011;0,1;0
Tromsdalen;SN90510;07.12.2011;-1,2;1,5
Tromsdalen;SN90510;08.12.2011;-8,1;1,8
Tromsdalen;SN90510;09.12.2011;-9,2;0
Tromsdalen;SN90510;10.12.2011;-2,2;0,5
Tromsdalen;SN90510;11.12.2011;-1,2;0
Tromsdalen;SN90510;12.12.2011;-6,3;11,3
Tromsdalen;SN90510;13.12.2011;-8;0
Tromsdalen;SN90510;14.12.2011;0;0
Tromsdalen;SN90510;15.12.2011;2,1;11,9
Tromsdalen;SN90510;16.12.2011;-0,9;0
Tromsdalen;SN90510;17.12.2011;-8;0
Tromsdalen;SN90510;18.12.2011;-8,3;0
Tromsdalen;SN90510;19.12.2011;-3,3;0
Tromsdalen;SN90510;20.12.2011;-0,7;0
Tromsdalen;SN90510;21.12.2011;-0,6;0
Tromsdalen;SN90510;22.12.2011;-1,2;0
Tromsdalen;SN90510;23.12.2011;4,8;0
Tromsdalen;SN90510;24.12.2011;1,8;6,9
Tromsdalen;SN90510;25.12.2011;3,4;7,3
Tromsdalen;SN90510;26.12.2011;1,8;4,1
Tromsdalen;SN90510;27.12.2011;-0,7;2,7
Tromsdalen;SN90510;28.12.2011;-0,4;4,4
Tromsdalen;SN90510;29.12.2011;-1;7,8
Tromsdalen;SN90510;30.12.2011;-5,5;0
Tromsdalen;SN90510;31.12.2011;-11;0
Tromsdalen;SN90510;01.01.2012;-0,8;0
Tromsdalen;SN90510;02.01.2012;1,3;0
Tromsdalen;SN90510;03.01.2012;-0,5;0
Tromsdalen;SN90510;04.01.2012;-1,4;0
Tromsdalen;SN90510;05.01.2012;-8,3;0
Tromsdalen;SN90510;06.01.2012;-11,4;0
Tromsdalen;SN90510;07.01.2012;-8,3;0
Tromsdalen;SN90510;08.01.2012;-6,2;0
Tromsdalen;SN90510;09.01.2012;-10,2;3,2
Tromsdalen;SN90510;10.01.2012;-5;0,2
Tromsdalen;SN90510;11.01.2012;-2;0
Tromsdalen;SN90510;12.01.2012;-9;0
Tromsdalen;SN90510;13.01.2012;-9,1;0
Tromsdalen;SN90510;14.01.2012;-7,9;0
Tromsdalen;SN90510;15.01.2012;3,3;0
Tromsdalen;SN90510;16.01.2012;1;7
Tromsdalen;SN90510;17.01.2012;2,6;1,7
Tromsdalen;SN90510;18.01.2012;0,5;0,7
Tromsdalen;SN90510;19.01.2012;-0,9;0
Tromsdalen;SN90510;20.01.2012;-6,5;0
Tromsdalen;SN90510;21.01.2012;-9,9;0
Tromsdalen;SN90510;22.01.2012;-10;0
Tromsdalen;SN90510;23.01.2012;-9,7;0
Tromsdalen;SN90510;24.01.2012;-4,1;0
Tromsdalen;SN90510;25.01.2012;-4,3;0
Tromsdalen;SN90510;26.01.2012;-3;0
Tromsdalen;SN90510;27.01.2012;-2,1;0
Tromsdalen;SN90510;28.01.2012;-7,2;0
Tromsdalen;SN90510;29.01.2012;-12,1;0
Tromsdalen;SN90510;30.01.2012;-12,5;0
Tromsdalen;SN90510;31.01.2012;-6;0
Tromsdalen;SN90510;01.02.2012;-2,1;0
Tromsdalen;SN90510;02.02.2012;-4,7;0
Tromsdalen;SN90510;03.02.2012;-4,9;0
Tromsdalen;SN90510;04.02.2012;-11,1;0
Tromsdalen;SN90510;05.02.2012;-15,2;0
Tromsdalen;SN90510;06.02.2012;-19,5;0
Tromsdalen;SN90510;07.02.2012;-6,9;0
Tromsdalen;SN90510;08.02.2012;4,3;0
Tromsdalen;SN90510;09.02.2012;4,3;0
Tromsdalen;SN90510;10.02.2012;4,1;4,3
Tromsdalen;SN90510;11.02.2012;1,9;3,4
Tromsdalen;SN90510;12.02.2012;-1,9;10,1
Tromsdalen;SN90510;13.02.2012;-2,1;3,6
Tromsdalen;SN90510;14.02.2012;-3,5;2
Tromsdalen;SN90510;15.02.2012;-5,6;0,3
Tromsdalen;SN90510;16.02.2012;-1,8;0
Tromsdalen;SN90510;17.02.2012;0,4;0
Tromsdalen;SN90510;18.02.2012;-0,4;0,3
Tromsdalen;SN90510;19.02.2012;-0,7;0
Tromsdalen;SN90510;20.02.2012;-2,6;2,9
Tromsdalen;SN90510;21.02.2012;-1,4;4
Tromsdalen;SN90510;22.02.2012;-3,5;3,9
Tromsdalen;SN90510;23.02.2012;-4;0
Tromsdalen;SN90510;24.02.2012;-6,9;0,6
Tromsdalen;SN90510;25.02.2012;-5,2;1
Tromsdalen;SN90510;26.02.2012;-3,3;0,3
Tromsdalen;SN90510;27.02.2012;-0,1;18
Tromsdalen;SN90510;28.02.2012;0,7;0,7
Tromsdalen;SN90510;29.02.2012;0,4;12,4
Tromsdalen;SN90510;01.03.2012;2,2;2,3
Tromsdalen;SN90510;02.03.2012;0,2;19,4
Tromsdalen;SN90510;03.03.2012;-3,3;3,1
Tromsdalen;SN90510;04.03.2012;-6,9;0
Tromsdalen;SN90510;05.03.2012;-7;0
Tromsdalen;SN90510;06.03.2012;-6,7;0
Tromsdalen;SN90510;07.03.2012;-3,8;0
Tromsdalen;SN90510;08.03.2012;1,4;0
Tromsdalen;SN90510;09.03.2012;2,8;0
Tromsdalen;SN90510;10.03.2012;1,3;1,4
Tromsdalen;SN90510;11.03.2012;0,4;8,4
Tromsdalen;SN90510;12.03.2012;0;12,5
Tromsdalen;SN90510;13.03.2012;-1,9;10,9
Tromsdalen;SN90510;14.03.2012;-0,9;6,5
Tromsdalen;SN90510;15.03.2012;3,5;2,6
Tromsdalen;SN90510;16.03.2012;1,8;13,2
Tromsdalen;SN90510;17.03.2012;-1,6;13,9
Tromsdalen;SN90510;18.03.2012;0,4;3,9
Tromsdalen;SN90510;19.03.2012;-0,9;0,1
Tromsdalen;SN90510;20.03.2012;-3,9;0
Tromsdalen;SN90510;21.03.2012;-5,1;0
Tromsdalen;SN90510;22.03.2012;0,5;0,4
Tromsdalen;SN90510;23.03.2012;1,8;4,4
Tromsdalen;SN90510;24.03.2012;1;1
Tromsdalen;SN90510;25.03.2012;-0,3;3,7
Tromsdalen;SN90510;26.03.2012;0,4;-
Tromsdalen;SN90510;27.03.2012;3,6;11,8
Tromsdalen;SN90510;28.03.2012;2,1;11,6
Tromsdalen;SN90510;29.03.2012;-0,9;5
Tromsdalen;SN90510;30.03.2012;-4;0
Tromsdalen;SN90510;31.03.2012;-2,8;2,1
Tromsdalen;SN90510;01.04.2012;-5,1;1,1
Tromsdalen;SN90510;02.04.2012;-6,5;0
Tromsdalen;SN90510;03.04.2012;-5;0
Tromsdalen;SN90510;04.04.2012;-3,3;3,1
