Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Snødybde
Tromsø - Holt;SN90400;06.01.1991;-4,2;-;-
Tromsø - Holt;SN90400;20.01.1994;-3,7;-;-
Tromsø - Holt;SN90400;21.01.1994;-0,2;-;-
Tromsø - Holt;SN90400;22.01.1994;-1;-;-
Tromsø - Holt;SN90400;23.01.1994;-3,4;-;-
Tromsø - Holt;SN90400;24.01.1994;-8,9;-;-
Tromsø - Holt;SN90400;25.01.1994;-9,4;-;-
Tromsø - Holt;SN90400;26.01.1994;-9,4;-;-
Tromsø - Holt;SN90400;27.01.1994;-10,5;-;-
Tromsø - Holt;SN90400;28.01.1994;-10,3;-;-
Tromsø - Holt;SN90400;29.01.1994;-6,9;-;-
Tromsø - Holt;SN90400;30.01.1994;-5,5;-;-
Tromsø - Holt;SN90400;31.01.1994;-3,8;-;-
Tromsø - Holt;SN90400;01.02.1994;-4,4;-;-
Tromsø - Holt;SN90400;02.02.1994;-7,3;-;-
Tromsø - Holt;SN90400;03.02.1994;-11,1;-;-
Tromsø - Holt;SN90400;04.02.1994;-6,1;-;-
Tromsø - Holt;SN90400;05.02.1994;-4,7;-;-
Tromsø - Holt;SN90400;06.02.1994;-1,8;-;-
Tromsø - Holt;SN90400;07.02.1994;-2,5;-;-
Tromsø - Holt;SN90400;08.02.1994;-3,9;-;-
Tromsø - Holt;SN90400;09.02.1994;-7;-;-
Tromsø - Holt;SN90400;10.02.1994;-6,9;-;-
Tromsø - Holt;SN90400;11.02.1994;-4,2;-;-
Tromsø - Holt;SN90400;12.02.1994;0,3;-;-
Tromsø - Holt;SN90400;13.02.1994;2,9;-;-
Tromsø - Holt;SN90400;14.02.1994;3,4;-;-
Tromsø - Holt;SN90400;15.02.1994;2,8;-;-
Tromsø - Holt;SN90400;16.02.1994;1,9;-;-
Tromsø - Holt;SN90400;17.02.1994;-0,8;-;-
Tromsø - Holt;SN90400;18.02.1994;0,9;-;-
Tromsø - Holt;SN90400;19.02.1994;-1;-;-
Tromsø - Holt;SN90400;20.02.1994;2,6;-;-
Tromsø - Holt;SN90400;21.02.1994;2,6;-;-
Tromsø - Holt;SN90400;22.02.1994;1,5;-;-
Tromsø - Holt;SN90400;23.02.1994;-1,3;-;-
Tromsø - Holt;SN90400;24.02.1994;-7,9;-;-
Tromsø - Holt;SN90400;25.02.1994;-4,8;-;-
Tromsø - Holt;SN90400;26.02.1994;-3;-;-
Tromsø - Holt;SN90400;27.02.1994;-5,9;-;-
Tromsø - Holt;SN90400;28.02.1994;-2,3;-;-
Tromsø - Holt;SN90400;01.03.1994;0,4;-;-
Tromsø - Holt;SN90400;02.03.1994;-0,3;-;-
Tromsø - Holt;SN90400;03.03.1994;-3,8;-;-
Tromsø - Holt;SN90400;04.03.1994;-2,4;-;-
Tromsø - Holt;SN90400;05.03.1994;2;-;-
Tromsø - Holt;SN90400;06.03.1994;3,3;-;-
Tromsø - Holt;SN90400;07.03.1994;0;-;-
Tromsø - Holt;SN90400;08.03.1994;-0,6;-;-
Tromsø - Holt;SN90400;09.03.1994;1,7;-;-
Tromsø - Holt;SN90400;10.03.1994;2,5;-;-
Tromsø - Holt;SN90400;11.03.1994;1,4;-;-
Tromsø - Holt;SN90400;12.03.1994;1;-;-
Tromsø - Holt;SN90400;13.03.1994;-1,9;-;-
Tromsø - Holt;SN90400;14.03.1994;-2,4;-;-
Tromsø - Holt;SN90400;15.03.1994;-2,8;-;-
Tromsø - Holt;SN90400;16.03.1994;0,1;-;-
Tromsø - Holt;SN90400;17.03.1994;-0,2;-;-
Tromsø - Holt;SN90400;18.03.1994;-0,2;-;-
Tromsø - Holt;SN90400;19.03.1994;-1,8;-;-
Tromsø - Holt;SN90400;20.03.1994;-2,9;-;-
Tromsø - Holt;SN90400;21.03.1994;-2,5;-;-
Tromsø - Holt;SN90400;22.03.1994;-2,6;-;-
Tromsø - Holt;SN90400;23.03.1994;-2,3;-;-
