Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Tromsø - Langnes;SN90490;01.10.1964;6,4;-;10,1;-
Tromsø - Langnes;SN90490;02.10.1964;2,3;17;6,2;-
Tromsø - Langnes;SN90490;03.10.1964;3,6;9,8;6;-
Tromsø - Langnes;SN90490;04.10.1964;8,9;58,1;8,7;-
Tromsø - Langnes;SN90490;05.10.1964;5,9;39,5;3,6;-
Tromsø - Langnes;SN90490;06.10.1964;7,7;10,6;5,8;-
Tromsø - Langnes;SN90490;07.10.1964;4,7;1,6;0,3;-
Tromsø - Langnes;SN90490;08.10.1964;9,4;0;5,1;-
Tromsø - Langnes;SN90490;09.10.1964;10,7;0;3,9;-
Tromsø - Langnes;SN90490;10.10.1964;11;0;6,9;-
Tromsø - Langnes;SN90490;11.10.1964;9,4;0;4,3;-
Tromsø - Langnes;SN90490;12.10.1964;7,7;0;4,3;-
Tromsø - Langnes;SN90490;13.10.1964;7,8;0;3,3;-
Tromsø - Langnes;SN90490;14.10.1964;5,9;0;0,9;-
Tromsø - Langnes;SN90490;15.10.1964;2,8;0;0;-
Tromsø - Langnes;SN90490;16.10.1964;3,9;0;2,4;-
Tromsø - Langnes;SN90490;17.10.1964;6,3;0;6,5;-
Tromsø - Langnes;SN90490;18.10.1964;4,4;1,5;6,2;-
Tromsø - Langnes;SN90490;19.10.1964;7,1;4,7;8,3;-
Tromsø - Langnes;SN90490;20.10.1964;6,5;0,8;8,7;-
Tromsø - Langnes;SN90490;21.10.1964;1,9;13,1;7;-
Tromsø - Langnes;SN90490;22.10.1964;9;0,4;12,7;-
Tromsø - Langnes;SN90490;23.10.1964;6,9;0;5,8;-
Tromsø - Langnes;SN90490;24.10.1964;7,9;0;3,2;-
Tromsø - Langnes;SN90490;25.10.1964;0,5;9;4,8;-
Tromsø - Langnes;SN90490;26.10.1964;0,9;3,8;6,5;-
Tromsø - Langnes;SN90490;27.10.1964;2,2;6,7;6,3;-
Tromsø - Langnes;SN90490;28.10.1964;7,7;13,3;8,4;-
Tromsø - Langnes;SN90490;29.10.1964;9;23,9;7,9;-
Tromsø - Langnes;SN90490;30.10.1964;9;10,3;11,3;-
Tromsø - Langnes;SN90490;31.10.1964;7,6;7;5,5;-
Tromsø - Langnes;SN90490;01.11.1964;5,9;16,9;4,1;-
Tromsø - Langnes;SN90490;02.11.1964;4,3;2,5;10,6;-
Tromsø - Langnes;SN90490;03.11.1964;-1,3;14,1;11,7;-
Tromsø - Langnes;SN90490;04.11.1964;0,7;18,6;6,3;-
Tromsø - Langnes;SN90490;05.11.1964;-4,2;17,1;2,4;-
Tromsø - Langnes;SN90490;06.11.1964;-5,5;5,7;3,3;-
Tromsø - Langnes;SN90490;07.11.1964;-2,7;3,4;2,9;-
