Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Tromsø Plu;SN90451;22.10.2011;11,8
Tromsø Plu;SN90451;23.10.2011;0
Tromsø Plu;SN90451;24.10.2011;0
Tromsø Plu;SN90451;25.10.2011;0,1
Tromsø Plu;SN90451;26.10.2011;0
Tromsø Plu;SN90451;27.10.2011;0
Tromsø Plu;SN90451;28.10.2011;2,3
Tromsø Plu;SN90451;29.10.2011;12,8
Tromsø Plu;SN90451;30.10.2011;14,6
Tromsø Plu;SN90451;31.10.2011;13,2
Tromsø Plu;SN90451;01.11.2011;5,3
Tromsø Plu;SN90451;02.11.2011;23
Tromsø Plu;SN90451;03.11.2011;24,6
Tromsø Plu;SN90451;04.11.2011;0,6
Tromsø Plu;SN90451;05.11.2011;0,1
Tromsø Plu;SN90451;06.11.2011;0,6
Tromsø Plu;SN90451;07.11.2011;3,4
Tromsø Plu;SN90451;08.11.2011;8
Tromsø Plu;SN90451;09.11.2011;0,4
Tromsø Plu;SN90451;10.11.2011;0
Tromsø Plu;SN90451;11.11.2011;9,5
Tromsø Plu;SN90451;12.11.2011;0,7
Tromsø Plu;SN90451;13.11.2011;0,1
Tromsø Plu;SN90451;14.11.2011;10,1
Tromsø Plu;SN90451;15.11.2011;8,2
Tromsø Plu;SN90451;16.11.2011;28,6
Tromsø Plu;SN90451;17.11.2011;11,1
Tromsø Plu;SN90451;18.11.2011;0,1
Tromsø Plu;SN90451;19.11.2011;5,2
Tromsø Plu;SN90451;20.11.2011;1,2
Tromsø Plu;SN90451;21.11.2011;0
Tromsø Plu;SN90451;22.11.2011;1,3
Tromsø Plu;SN90451;23.11.2011;4,8
Tromsø Plu;SN90451;24.11.2011;1,2
Tromsø Plu;SN90451;25.11.2011;11,2
Tromsø Plu;SN90451;26.11.2011;0
Tromsø Plu;SN90451;27.11.2011;0
Tromsø Plu;SN90451;28.11.2011;0
Tromsø Plu;SN90451;29.11.2011;1,2
Tromsø Plu;SN90451;30.11.2011;0
Tromsø Plu;SN90451;01.12.2011;6,7
Tromsø Plu;SN90451;02.12.2011;1,6
Tromsø Plu;SN90451;03.12.2011;9,5
Tromsø Plu;SN90451;04.12.2011;0
Tromsø Plu;SN90451;05.12.2011;0
Tromsø Plu;SN90451;06.12.2011;0
Tromsø Plu;SN90451;07.12.2011;1,7
Tromsø Plu;SN90451;08.12.2011;1,9
Tromsø Plu;SN90451;09.12.2011;0
Tromsø Plu;SN90451;10.12.2011;0
Tromsø Plu;SN90451;11.12.2011;0,5
Tromsø Plu;SN90451;12.12.2011;14,7
Tromsø Plu;SN90451;13.12.2011;1
Tromsø Plu;SN90451;14.12.2011;0,2
Tromsø Plu;SN90451;15.12.2011;0
Tromsø Plu;SN90451;16.12.2011;0
Tromsø Plu;SN90451;17.12.2011;0
Tromsø Plu;SN90451;18.12.2011;0
Tromsø Plu;SN90451;19.12.2011;0
Tromsø Plu;SN90451;20.12.2011;0
Tromsø Plu;SN90451;21.12.2011;0
Tromsø Plu;SN90451;22.12.2011;0
Tromsø Plu;SN90451;23.12.2011;0
Tromsø Plu;SN90451;24.12.2011;2,2
Tromsø Plu;SN90451;25.12.2011;5,5
Tromsø Plu;SN90451;26.12.2011;2
Tromsø Plu;SN90451;27.12.2011;2,4
Tromsø Plu;SN90451;28.12.2011;6,1
Tromsø Plu;SN90451;29.12.2011;6,4
Tromsø Plu;SN90451;30.12.2011;0
Tromsø Plu;SN90451;31.12.2011;0
Tromsø Plu;SN90451;01.01.2012;0
Tromsø Plu;SN90451;02.01.2012;0,2
Tromsø Plu;SN90451;03.01.2012;0
Tromsø Plu;SN90451;04.01.2012;0
Tromsø Plu;SN90451;05.01.2012;0
Tromsø Plu;SN90451;06.01.2012;0
Tromsø Plu;SN90451;07.01.2012;0
Tromsø Plu;SN90451;08.01.2012;0
Tromsø Plu;SN90451;09.01.2012;1,6
Tromsø Plu;SN90451;10.01.2012;0
Tromsø Plu;SN90451;11.01.2012;0,2
Tromsø Plu;SN90451;12.01.2012;0
Tromsø Plu;SN90451;13.01.2012;0
Tromsø Plu;SN90451;14.01.2012;0
Tromsø Plu;SN90451;15.01.2012;0
Tromsø Plu;SN90451;16.01.2012;5
Tromsø Plu;SN90451;17.01.2012;0,9
Tromsø Plu;SN90451;18.01.2012;1,7
Tromsø Plu;SN90451;19.01.2012;0
Tromsø Plu;SN90451;20.01.2012;0
Tromsø Plu;SN90451;21.01.2012;0
Tromsø Plu;SN90451;22.01.2012;0
Tromsø Plu;SN90451;23.01.2012;0
Tromsø Plu;SN90451;24.01.2012;0
Tromsø Plu;SN90451;25.01.2012;0
Tromsø Plu;SN90451;26.01.2012;0
Tromsø Plu;SN90451;27.01.2012;0
Tromsø Plu;SN90451;28.01.2012;0
Tromsø Plu;SN90451;29.01.2012;0
Tromsø Plu;SN90451;30.01.2012;0
Tromsø Plu;SN90451;31.01.2012;0
Tromsø Plu;SN90451;01.02.2012;0
Tromsø Plu;SN90451;02.02.2012;0
Tromsø Plu;SN90451;03.02.2012;0
Tromsø Plu;SN90451;04.02.2012;0
Tromsø Plu;SN90451;05.02.2012;0
Tromsø Plu;SN90451;06.02.2012;0
Tromsø Plu;SN90451;07.02.2012;0
Tromsø Plu;SN90451;08.02.2012;0
Tromsø Plu;SN90451;09.02.2012;0
Tromsø Plu;SN90451;10.02.2012;1,2
Tromsø Plu;SN90451;11.02.2012;4,7
Tromsø Plu;SN90451;12.02.2012;10,5
Tromsø Plu;SN90451;13.02.2012;3,3
Tromsø Plu;SN90451;14.02.2012;1,1
Tromsø Plu;SN90451;15.02.2012;4,8
Tromsø Plu;SN90451;16.02.2012;0
Tromsø Plu;SN90451;17.02.2012;0,2
Tromsø Plu;SN90451;18.02.2012;0,3
Tromsø Plu;SN90451;19.02.2012;0
Tromsø Plu;SN90451;20.02.2012;3,3
Tromsø Plu;SN90451;21.02.2012;3,4
Tromsø Plu;SN90451;22.02.2012;10,7
Tromsø Plu;SN90451;23.02.2012;0,1
Tromsø Plu;SN90451;24.02.2012;4,9
Tromsø Plu;SN90451;25.02.2012;0
Tromsø Plu;SN90451;26.02.2012;7,9
Tromsø Plu;SN90451;27.02.2012;1,2
Tromsø Plu;SN90451;28.02.2012;0
Tromsø Plu;SN90451;29.02.2012;8,6
Tromsø Plu;SN90451;01.03.2012;1,9
Tromsø Plu;SN90451;02.03.2012;18,9
Tromsø Plu;SN90451;03.03.2012;3,9
Tromsø Plu;SN90451;04.03.2012;0
Tromsø Plu;SN90451;05.03.2012;0
Tromsø Plu;SN90451;06.03.2012;0
Tromsø Plu;SN90451;07.03.2012;0
Tromsø Plu;SN90451;08.03.2012;0
Tromsø Plu;SN90451;09.03.2012;0,1
Tromsø Plu;SN90451;10.03.2012;0,5
