Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Tromsø;SN90450;01.01.1950;-4,6;5,2;5,3;19
Tromsø;SN90450;02.01.1950;-10,4;0;8,4;19
Tromsø;SN90450;03.01.1950;-9,9;0;1,3;19
Tromsø;SN90450;04.01.1950;-11,3;0;0,5;19
Tromsø;SN90450;05.01.1950;-10,2;0;1,3;19
Tromsø;SN90450;06.01.1950;-10,4;0;1,3;19
Tromsø;SN90450;07.01.1950;-12,8;0;5,3;19
Tromsø;SN90450;08.01.1950;-11,3;0;3,9;19
Tromsø;SN90450;09.01.1950;-12,5;0;1,3;19
Tromsø;SN90450;10.01.1950;-6,8;0;3,3;19
Tromsø;SN90450;11.01.1950;-6,4;0;7,6;19
Tromsø;SN90450;12.01.1950;2,1;0,6;4,3;19
Tromsø;SN90450;13.01.1950;-0,2;2,3;0,5;14
Tromsø;SN90450;14.01.1950;-3,7;0;0,5;14
Tromsø;SN90450;15.01.1950;-7,2;0;4,5;14
Tromsø;SN90450;16.01.1950;-11,5;0;3,7;12
Tromsø;SN90450;17.01.1950;-10,1;0;2,5;10
Tromsø;SN90450;18.01.1950;-1,1;0;5,3;10
Tromsø;SN90450;19.01.1950;1,2;3,1;5,2;10
Tromsø;SN90450;20.01.1950;2,1;7,3;3,1;15
Tromsø;SN90450;21.01.1950;4,2;9,2;3,8;7
Tromsø;SN90450;22.01.1950;3,4;1,9;6;2
Tromsø;SN90450;23.01.1950;4,5;4,1;6,1;0
Tromsø;SN90450;24.01.1950;4,6;2;3,3;0
Tromsø;SN90450;25.01.1950;0,2;2,4;6;0
Tromsø;SN90450;26.01.1950;0,5;0,8;2;1
Tromsø;SN90450;27.01.1950;-2,9;0;1,3;1
Tromsø;SN90450;28.01.1950;1,4;0;3;1
Tromsø;SN90450;29.01.1950;1,4;0;4,3;1
Tromsø;SN90450;30.01.1950;-0,2;0;0,8;1
Tromsø;SN90450;31.01.1950;-3,6;0;0,8;1
Tromsø;SN90450;01.02.1950;-5,2;0;2,8;1
Tromsø;SN90450;02.02.1950;-2,6;0;2,4;1
Tromsø;SN90450;03.02.1950;-4,3;0;1,1;1
Tromsø;SN90450;04.02.1950;-4,1;0;3,6;1
Tromsø;SN90450;05.02.1950;3,7;2,4;6,1;1
Tromsø;SN90450;06.02.1950;0,1;0;1,3;0
Tromsø;SN90450;07.02.1950;-2,1;0;0,5;0
Tromsø;SN90450;08.02.1950;-1,4;0;1,9;0
Tromsø;SN90450;09.02.1950;-4;0;3;0
Tromsø;SN90450;10.02.1950;-4;0;2,4;0
Tromsø;SN90450;11.02.1950;-6,8;0;0,8;0
Tromsø;SN90450;12.02.1950;-7,8;0;1,9;0
Tromsø;SN90450;13.02.1950;-4,7;0,3;3,3;2
Tromsø;SN90450;14.02.1950;-3,2;2,4;3;2
Tromsø;SN90450;15.02.1950;-6,4;3,5;0,3;25
Tromsø;SN90450;16.02.1950;-10;4,9;0,3;26
Tromsø;SN90450;17.02.1950;-6,9;0;3,9;26
Tromsø;SN90450;18.02.1950;-4,6;0;6,8;24
Tromsø;SN90450;19.02.1950;-1,7;3,6;1,6;24
Tromsø;SN90450;20.02.1950;-0,7;0,9;3,6;24
Tromsø;SN90450;21.02.1950;-2,7;8,4;4,2;29
Tromsø;SN90450;22.02.1950;-2,1;0,2;6,1;24
Tromsø;SN90450;23.02.1950;-5,5;2,9;0,8;25
Tromsø;SN90450;24.02.1950;-3,3;0,7;2;25
Tromsø;SN90450;25.02.1950;-6,1;15,1;1,3;40
Tromsø;SN90450;26.02.1950;-5,6;0,3;1,9;40
Tromsø;SN90450;27.02.1950;-1,2;0;3,3;40
Tromsø;SN90450;28.02.1950;-0,5;4,6;3,7;42
Tromsø;SN90450;01.03.1950;1;0;3;42
Tromsø;SN90450;02.03.1950;-1,9;0;6,8;35
Tromsø;SN90450;03.03.1950;0,8;0;9,4;35
Tromsø;SN90450;04.03.1950;-1;2,8;2,2;40
Tromsø;SN90450;05.03.1950;-2,4;3,7;0,5;40
Tromsø;SN90450;06.03.1950;-1;0,5;6,1;40
Tromsø;SN90450;07.03.1950;-5,4;14,2;4,5;50
Tromsø;SN90450;08.03.1950;-3;2;1,1;60
Tromsø;SN90450;09.03.1950;-4,5;2,7;0,3;65
Tromsø;SN90450;10.03.1950;-6,4;0;0,5;65
Tromsø;SN90450;11.03.1950;-7,9;0,1;0,3;65
Tromsø;SN90450;12.03.1950;-5,7;1;1,9;66
Tromsø;SN90450;13.03.1950;-4,8;4,9;1,3;72
Tromsø;SN90450;14.03.1950;-4,9;0,1;2,2;73
Tromsø;SN90450;15.03.1950;-4,7;5,6;1,3;76
Tromsø;SN90450;16.03.1950;-3,2;3;1,1;77
Tromsø;SN90450;17.03.1950;-4,9;0;0,8;77
Tromsø;SN90450;18.03.1950;3,9;0,2;5,3;65
Tromsø;SN90450;19.03.1950;2;0;8,6;38
Tromsø;SN90450;20.03.1950;-2,2;4;0;40
Tromsø;SN90450;21.03.1950;-1,6;0,7;5,3;40
Tromsø;SN90450;22.03.1950;-1,1;6,3;1,6;53
Tromsø;SN90450;23.03.1950;0;0,6;7,6;50
Tromsø;SN90450;24.03.1950;2,9;0,3;3,7;45
Tromsø;SN90450;25.03.1950;4,2;2,2;5,9;40
Tromsø;SN90450;26.03.1950;4,5;0,3;6,7;30
Tromsø;SN90450;27.03.1950;-2,5;3,9;2,4;34
Tromsø;SN90450;28.03.1950;-2,3;9,8;5,1;35
Tromsø;SN90450;29.03.1950;-1;17;0,5;66
Tromsø;SN90450;30.03.1950;-1,3;24,3;0,5;90
Tromsø;SN90450;31.03.1950;-1,9;11,2;0,3;93
Tromsø;SN90450;01.04.1950;-1,7;0;0,3;93
Tromsø;SN90450;02.04.1950;-0,9;1,5;1,3;80
Tromsø;SN90450;03.04.1950;-1,2;0;1,3;72
Tromsø;SN90450;04.04.1950;-0,7;0;0,5;75
Tromsø;SN90450;05.04.1950;0,1;0;2;70
Tromsø;SN90450;06.04.1950;-1;0;3,3;70
Tromsø;SN90450;07.04.1950;-1,9;0;0,8;60
Tromsø;SN90450;08.04.1950;-0,3;0;5,9;60
Tromsø;SN90450;09.04.1950;4,1;0;7,6;60
Tromsø;SN90450;10.04.1950;4,8;0;7,6;59
Tromsø;SN90450;11.04.1950;5,3;0;3;45
