Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ullsfjord;SN91100;01.01.1957;0,1;3
Ullsfjord;SN91100;02.01.1957;0;3
Ullsfjord;SN91100;03.01.1957;0;3
Ullsfjord;SN91100;04.01.1957;0;2
Ullsfjord;SN91100;05.01.1957;0;2
Ullsfjord;SN91100;06.01.1957;0;2
Ullsfjord;SN91100;07.01.1957;0;1
Ullsfjord;SN91100;08.01.1957;2,1;2
Ullsfjord;SN91100;09.01.1957;11,8;5
Ullsfjord;SN91100;10.01.1957;10,9;10
Ullsfjord;SN91100;11.01.1957;6,3;16
Ullsfjord;SN91100;12.01.1957;4,2;25
Ullsfjord;SN91100;13.01.1957;0;24
Ullsfjord;SN91100;14.01.1957;0;24
Ullsfjord;SN91100;15.01.1957;10,4;26
Ullsfjord;SN91100;16.01.1957;19,1;31
Ullsfjord;SN91100;17.01.1957;26,8;24
Ullsfjord;SN91100;18.01.1957;39,2;14
Ullsfjord;SN91100;19.01.1957;15,4;24
Ullsfjord;SN91100;20.01.1957;4,7;17
Ullsfjord;SN91100;21.01.1957;0,4;17
Ullsfjord;SN91100;22.01.1957;3,5;26
Ullsfjord;SN91100;23.01.1957;0;25
Ullsfjord;SN91100;24.01.1957;0;26
Ullsfjord;SN91100;25.01.1957;0;23
Ullsfjord;SN91100;26.01.1957;0;22
Ullsfjord;SN91100;27.01.1957;0;22
Ullsfjord;SN91100;28.01.1957;0;21
Ullsfjord;SN91100;29.01.1957;0,8;20
Ullsfjord;SN91100;30.01.1957;0,2;20
Ullsfjord;SN91100;31.01.1957;28,1;20
Ullsfjord;SN91100;01.02.1957;0;20
Ullsfjord;SN91100;02.02.1957;0;20
Ullsfjord;SN91100;03.02.1957;0,1;20
Ullsfjord;SN91100;04.02.1957;25,8;27
Ullsfjord;SN91100;05.02.1957;0;26
Ullsfjord;SN91100;06.02.1957;0;25
Ullsfjord;SN91100;07.02.1957;0;25
Ullsfjord;SN91100;08.02.1957;2,6;29
Ullsfjord;SN91100;09.02.1957;0;29
Ullsfjord;SN91100;10.02.1957;0;29
Ullsfjord;SN91100;11.02.1957;0;29
Ullsfjord;SN91100;12.02.1957;0;29
Ullsfjord;SN91100;13.02.1957;0;29
Ullsfjord;SN91100;14.02.1957;0;29
Ullsfjord;SN91100;15.02.1957;0;29
Ullsfjord;SN91100;16.02.1957;0;29
Ullsfjord;SN91100;17.02.1957;0;29
Ullsfjord;SN91100;18.02.1957;0;29
Ullsfjord;SN91100;19.02.1957;0;29
Ullsfjord;SN91100;20.02.1957;0;29
Ullsfjord;SN91100;21.02.1957;0;29
Ullsfjord;SN91100;22.02.1957;0;29
Ullsfjord;SN91100;23.02.1957;0;29
Ullsfjord;SN91100;24.02.1957;0;29
Ullsfjord;SN91100;25.02.1957;0;29
Ullsfjord;SN91100;26.02.1957;0;29
Ullsfjord;SN91100;27.02.1957;0;29
Ullsfjord;SN91100;28.02.1957;0;29
Ullsfjord;SN91100;01.03.1957;0,3;30
Ullsfjord;SN91100;02.03.1957;0,6;29
Ullsfjord;SN91100;03.03.1957;0;28
Ullsfjord;SN91100;04.03.1957;0;28
Ullsfjord;SN91100;05.03.1957;0;28
Ullsfjord;SN91100;06.03.1957;0;27
Ullsfjord;SN91100;07.03.1957;0;26
Ullsfjord;SN91100;08.03.1957;0;25
Ullsfjord;SN91100;09.03.1957;0;24
Ullsfjord;SN91100;10.03.1957;1,1;20
Ullsfjord;SN91100;11.03.1957;8,8;18
Ullsfjord;SN91100;12.03.1957;0,4;19
Ullsfjord;SN91100;13.03.1957;0;19
Ullsfjord;SN91100;14.03.1957;0;19
Ullsfjord;SN91100;15.03.1957;0;19
Ullsfjord;SN91100;16.03.1957;0;19
Ullsfjord;SN91100;17.03.1957;0,5;20
Ullsfjord;SN91100;18.03.1957;0,7;21
Ullsfjord;SN91100;19.03.1957;0;20
Ullsfjord;SN91100;20.03.1957;0;20
Ullsfjord;SN91100;21.03.1957;0;20
Ullsfjord;SN91100;22.03.1957;0;20
Ullsfjord;SN91100;23.03.1957;3,2;30
Ullsfjord;SN91100;24.03.1957;0,1;30
Ullsfjord;SN91100;25.03.1957;0;29
Ullsfjord;SN91100;26.03.1957;1,5;28
Ullsfjord;SN91100;27.03.1957;6,6;19
Ullsfjord;SN91100;28.03.1957;4,8;21
Ullsfjord;SN91100;29.03.1957;1,6;22
Ullsfjord;SN91100;30.03.1957;9,1;20
Ullsfjord;SN91100;31.03.1957;4,9;15
Ullsfjord;SN91100;01.04.1957;0;13
Ullsfjord;SN91100;02.04.1957;5,2;11
Ullsfjord;SN91100;03.04.1957;2,5;5
Ullsfjord;SN91100;04.04.1957;2,8;3
Ullsfjord;SN91100;05.04.1957;3,3;0
Ullsfjord;SN91100;06.04.1957;8,3;0
Ullsfjord;SN91100;07.04.1957;2,1;1
Ullsfjord;SN91100;08.04.1957;6,4;8
Ullsfjord;SN91100;09.04.1957;1,8;10
Ullsfjord;SN91100;10.04.1957;0,1;9
Ullsfjord;SN91100;11.04.1957;0;0
Ullsfjord;SN91100;12.04.1957;0;0
Ullsfjord;SN91100;13.04.1957;0;0
Ullsfjord;SN91100;14.04.1957;0;0
Ullsfjord;SN91100;15.04.1957;0;0
Ullsfjord;SN91100;16.04.1957;0;0
Ullsfjord;SN91100;17.04.1957;0;0
Ullsfjord;SN91100;18.04.1957;0;0
Ullsfjord;SN91100;19.04.1957;0;0
Ullsfjord;SN91100;20.04.1957;0;0
Ullsfjord;SN91100;21.04.1957;0;0
Ullsfjord;SN91100;22.04.1957;0;0
Ullsfjord;SN91100;23.04.1957;0;0
Ullsfjord;SN91100;24.04.1957;0;0
Ullsfjord;SN91100;25.04.1957;3,2;0
Ullsfjord;SN91100;26.04.1957;0;0
Ullsfjord;SN91100;27.04.1957;0;0
Ullsfjord;SN91100;28.04.1957;3,3;0
Ullsfjord;SN91100;29.04.1957;4,2;1
Ullsfjord;SN91100;30.04.1957;0;0
Ullsfjord;SN91100;01.05.1957;0;0
Ullsfjord;SN91100;02.05.1957;0;0
Ullsfjord;SN91100;03.05.1957;1,6;1
Ullsfjord;SN91100;04.05.1957;0;0
Ullsfjord;SN91100;05.05.1957;0;0
Ullsfjord;SN91100;06.05.1957;0;0
Ullsfjord;SN91100;07.05.1957;0,8;1
Ullsfjord;SN91100;08.05.1957;1,8;0
Ullsfjord;SN91100;09.05.1957;0;0
Ullsfjord;SN91100;10.05.1957;0;0
Ullsfjord;SN91100;11.05.1957;0;0
Ullsfjord;SN91100;12.05.1957;0;0
Ullsfjord;SN91100;13.05.1957;0;0
Ullsfjord;SN91100;14.05.1957;1,1;0
Ullsfjord;SN91100;15.05.1957;1,2;0
Ullsfjord;SN91100;16.05.1957;0;0
Ullsfjord;SN91100;17.05.1957;0;0
Ullsfjord;SN91100;18.05.1957;0,9;0
Ullsfjord;SN91100;19.05.1957;1,5;0
Ullsfjord;SN91100;20.05.1957;0;0
Ullsfjord;SN91100;21.05.1957;0;0
Ullsfjord;SN91100;22.05.1957;1,5;0
Ullsfjord;SN91100;23.05.1957;10,4;4
Ullsfjord;SN91100;24.05.1957;2,9;0
Ullsfjord;SN91100;25.05.1957;1,5;0
Ullsfjord;SN91100;26.05.1957;0;0
Ullsfjord;SN91100;27.05.1957;0;0
Ullsfjord;SN91100;28.05.1957;0;0
Ullsfjord;SN91100;29.05.1957;1,2;0
Ullsfjord;SN91100;30.05.1957;2,1;0
Ullsfjord;SN91100;31.05.1957;0,2;0
Ullsfjord;SN91100;01.06.1957;2,7;0
Ullsfjord;SN91100;02.06.1957;1,1;0
Ullsfjord;SN91100;03.06.1957;0,3;0
Ullsfjord;SN91100;04.06.1957;0,2;0
Ullsfjord;SN91100;05.06.1957;0;0
Ullsfjord;SN91100;06.06.1957;1,5;0
Ullsfjord;SN91100;07.06.1957;0;0
Ullsfjord;SN91100;08.06.1957;0;0
Ullsfjord;SN91100;09.06.1957;3,1;0
Ullsfjord;SN91100;10.06.1957;0;0
Ullsfjord;SN91100;11.06.1957;0;0
Ullsfjord;SN91100;12.06.1957;0;0
Ullsfjord;SN91100;13.06.1957;7,7;0
Ullsfjord;SN91100;14.06.1957;1,9;0
Ullsfjord;SN91100;15.06.1957;4,4;0
Ullsfjord;SN91100;16.06.1957;1,1;0
Ullsfjord;SN91100;17.06.1957;4,2;0
Ullsfjord;SN91100;18.06.1957;4,5;0
Ullsfjord;SN91100;19.06.1957;3,6;0
Ullsfjord;SN91100;20.06.1957;2,3;0
Ullsfjord;SN91100;21.06.1957;2;0
Ullsfjord;SN91100;22.06.1957;0,5;0
Ullsfjord;SN91100;23.06.1957;0;0
Ullsfjord;SN91100;24.06.1957;0;0
Ullsfjord;SN91100;25.06.1957;0;0
Ullsfjord;SN91100;26.06.1957;0,1;0
Ullsfjord;SN91100;27.06.1957;0;0
Ullsfjord;SN91100;28.06.1957;8,8;0
Ullsfjord;SN91100;29.06.1957;28,8;0
Ullsfjord;SN91100;30.06.1957;4,1;0
Ullsfjord;SN91100;01.07.1957;1,2;0
Ullsfjord;SN91100;02.07.1957;0;0
Ullsfjord;SN91100;03.07.1957;0;0
Ullsfjord;SN91100;04.07.1957;0;0
Ullsfjord;SN91100;05.07.1957;0;0
Ullsfjord;SN91100;06.07.1957;0,1;0
Ullsfjord;SN91100;07.07.1957;4,5;0
Ullsfjord;SN91100;08.07.1957;0,1;0
Ullsfjord;SN91100;09.07.1957;0;0
Ullsfjord;SN91100;10.07.1957;0;0
Ullsfjord;SN91100;11.07.1957;0,6;0
Ullsfjord;SN91100;12.07.1957;0;0
Ullsfjord;SN91100;13.07.1957;0;0
Ullsfjord;SN91100;14.07.1957;0;0
Ullsfjord;SN91100;15.07.1957;0;0
Ullsfjord;SN91100;16.07.1957;0;0
Ullsfjord;SN91100;17.07.1957;1,2;0
Ullsfjord;SN91100;18.07.1957;0;0
Ullsfjord;SN91100;19.07.1957;0;0
Ullsfjord;SN91100;20.07.1957;0,2;0
Ullsfjord;SN91100;21.07.1957;0,5;0
Ullsfjord;SN91100;22.07.1957;0,3;0
Ullsfjord;SN91100;23.07.1957;0,4;0
Ullsfjord;SN91100;24.07.1957;0;0
Ullsfjord;SN91100;25.07.1957;0;0
Ullsfjord;SN91100;26.07.1957;0;0
Ullsfjord;SN91100;27.07.1957;0;0
Ullsfjord;SN91100;28.07.1957;0;0
Ullsfjord;SN91100;29.07.1957;0;0
Ullsfjord;SN91100;30.07.1957;0;0
Ullsfjord;SN91100;31.07.1957;4,8;0
Ullsfjord;SN91100;01.08.1957;6;0
Ullsfjord;SN91100;02.08.1957;8,1;0
Ullsfjord;SN91100;03.08.1957;3;0
Ullsfjord;SN91100;04.08.1957;4,6;0
Ullsfjord;SN91100;05.08.1957;4,8;0
Ullsfjord;SN91100;06.08.1957;4,9;0
Ullsfjord;SN91100;07.08.1957;4,7;0
Ullsfjord;SN91100;08.08.1957;5,2;0
Ullsfjord;SN91100;09.08.1957;1,1;0
Ullsfjord;SN91100;10.08.1957;2,9;0
Ullsfjord;SN91100;11.08.1957;0;0
Ullsfjord;SN91100;12.08.1957;0;0
Ullsfjord;SN91100;13.08.1957;6;0
Ullsfjord;SN91100;14.08.1957;5;0
Ullsfjord;SN91100;15.08.1957;1,5;0
Ullsfjord;SN91100;16.08.1957;1,4;0
Ullsfjord;SN91100;17.08.1957;0;0
Ullsfjord;SN91100;18.08.1957;0;0
Ullsfjord;SN91100;19.08.1957;0;0
Ullsfjord;SN91100;20.08.1957;0;0
Ullsfjord;SN91100;21.08.1957;1,8;0
Ullsfjord;SN91100;22.08.1957;18,8;0
Ullsfjord;SN91100;23.08.1957;8;0
Ullsfjord;SN91100;24.08.1957;0;0
Ullsfjord;SN91100;25.08.1957;0;0
Ullsfjord;SN91100;26.08.1957;0;0
Ullsfjord;SN91100;27.08.1957;0;0
Ullsfjord;SN91100;28.08.1957;0;0
Ullsfjord;SN91100;29.08.1957;0,5;0
Ullsfjord;SN91100;30.08.1957;10,3;0
Ullsfjord;SN91100;31.08.1957;0;0
Ullsfjord;SN91100;01.09.1957;0;0
Ullsfjord;SN91100;02.09.1957;0;0
Ullsfjord;SN91100;03.09.1957;0,1;0
