Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ytre Holmebukt;SN91080;28.09.2004;0;0
Ytre Holmebukt;SN91080;29.09.2004;0,4;0
Ytre Holmebukt;SN91080;30.09.2004;0,9;0
Ytre Holmebukt;SN91080;01.10.2004;0;0
Ytre Holmebukt;SN91080;02.10.2004;0;0
Ytre Holmebukt;SN91080;03.10.2004;0;0
Ytre Holmebukt;SN91080;04.10.2004;0,1;0
Ytre Holmebukt;SN91080;05.10.2004;0;0
Ytre Holmebukt;SN91080;06.10.2004;4,9;0
Ytre Holmebukt;SN91080;07.10.2004;7,2;0
Ytre Holmebukt;SN91080;08.10.2004;0;0
Ytre Holmebukt;SN91080;09.10.2004;1,8;0
Ytre Holmebukt;SN91080;10.10.2004;0,7;0
Ytre Holmebukt;SN91080;11.10.2004;0;0
Ytre Holmebukt;SN91080;12.10.2004;3,1;0
Ytre Holmebukt;SN91080;13.10.2004;7,9;0
Ytre Holmebukt;SN91080;14.10.2004;2,2;0
Ytre Holmebukt;SN91080;15.10.2004;0,1;0
Ytre Holmebukt;SN91080;16.10.2004;0;0
Ytre Holmebukt;SN91080;17.10.2004;0;0
Ytre Holmebukt;SN91080;18.10.2004;0;0
Ytre Holmebukt;SN91080;19.10.2004;0;0
Ytre Holmebukt;SN91080;20.10.2004;0;0
Ytre Holmebukt;SN91080;21.10.2004;3,9;0
Ytre Holmebukt;SN91080;22.10.2004;0,2;0
Ytre Holmebukt;SN91080;23.10.2004;0;0
Ytre Holmebukt;SN91080;24.10.2004;0;0
Ytre Holmebukt;SN91080;25.10.2004;0;0
Ytre Holmebukt;SN91080;26.10.2004;0;0
Ytre Holmebukt;SN91080;27.10.2004;0;0
Ytre Holmebukt;SN91080;28.10.2004;0,1;0
Ytre Holmebukt;SN91080;29.10.2004;9,1;5
Ytre Holmebukt;SN91080;30.10.2004;0;0
Ytre Holmebukt;SN91080;31.10.2004;0,5;0
Ytre Holmebukt;SN91080;01.11.2004;9,6;0
Ytre Holmebukt;SN91080;02.11.2004;23,4;0
Ytre Holmebukt;SN91080;03.11.2004;36,3;0
Ytre Holmebukt;SN91080;04.11.2004;5,6;0
Ytre Holmebukt;SN91080;05.11.2004;0;0
Ytre Holmebukt;SN91080;06.11.2004;1,9;0
Ytre Holmebukt;SN91080;09.11.2004;0;0
Ytre Holmebukt;SN91080;10.11.2004;7,2;0
Ytre Holmebukt;SN91080;11.11.2004;4,2;0
Ytre Holmebukt;SN91080;12.11.2004;4,1;0
Ytre Holmebukt;SN91080;13.11.2004;1,6;3
Ytre Holmebukt;SN91080;14.11.2004;7,6;5
Ytre Holmebukt;SN91080;15.11.2004;2,2;13
Ytre Holmebukt;SN91080;16.11.2004;2,6;14
Ytre Holmebukt;SN91080;17.11.2004;10,8;25
